資料名,資料名（ヨミ）,コレクション名,言語,種別,編著者,編著者（ヨミ）,発行者,出版地,刊行年、書写年等,刊行年月日（西暦),形態,内容記述,Alternative Title,Alternative,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
重訂解體新書銅版全図,ジュウテイカイタイシンショドウバンゼンズ|Juuteikaitaishinshodoubanzenzu,古典籍コレクション [医学図書館],日本語,,中伊三郎 図版|杉田玄白 等訳|大槻玄沢 重訂,,,,天保14年,,1帖 折本 25cm,請求記号: HR:92|資料解説:  「 重訂解體新書 」の図版。中伊三郎は江戸後期の銅板画家。|刊年2: 1843,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2c2e10cd-0a49-4bc1-82b4-a09efe41a24c.json,2c2e10cd-0a49-4bc1-82b4-a09efe41a24c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/2c2e10cd-0a49-4bc1-82b4-a09efe41a24c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/83c180bc477c6475177d2b39c6992e2b9a9d580a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611990,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,086,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2c2e10cd-0a49-4bc1-82b4-a09efe41a24c/manifest,,,,,27
鼈氏診断学,ベッシシンダンガク|Besshishindangaku,古典籍コレクション [医学図書館],日本語,,"ベルツ著|土岐文二郎, 保利聯 共譯",,,,明治29年,,1冊 20cm,請求記号: ベルツ資料:H|資料解説: 著者のエルヴィン・フォン・ベルツ(独 1849-1913)は東京医学校(東京大学医学部)のお雇い外国人教師、在職期間は明治9年6月~35年7月。来日当初は生理学の講義を担当、前任者が帰国後に内科学、病理学などを担当し臨床の重要性を説いた。 在職は26年間にも渡り、日本の学生への教育指導と患者の診療に力を尽くした。|刊年2: 1896,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d3f4f4ad-47ee-4b15-8eb8-d37f0fdb44aa.json,d3f4f4ad-47ee-4b15-8eb8-d37f0fdb44aa,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/d3f4f4ad-47ee-4b15-8eb8-d37f0fdb44aa,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8d7f48ce0ae2b5e95afca3f476122cba05dbff4c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611989,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,087,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d3f4f4ad-47ee-4b15-8eb8-d37f0fdb44aa/manifest,,,,,445
内科病論 上篇,ナイカビョウロン|Naikabyouron,古典籍コレクション [医学図書館],日本語,,ベルツ原著|伊勢錠五郎 譯補|樫村清徳 校閲,,,,明治15-16年,1882,3冊 19cm,請求記号: ベルツ資料:J|資料解説: 著者のエルヴィン・フォン・ベルツ(独 1849-1913)は東京医学校(東京大学医学部)のお雇い外国人教師、在職期間は明治9年6月~35年7月。来日当初は生理学の講義を担当、前任者が帰国後に内科学、病理学などを担当し臨床の重要性を説いた。在職は26年間にも渡り、日本の学生への教育指導と患者の診療に力を尽くした。|刊年2: 1882-1883,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/35110646-86c8-4c58-9a83-e12b4693d306.json,35110646-86c8-4c58-9a83-e12b4693d306,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/35110646-86c8-4c58-9a83-e12b4693d306,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2558bfd492df6446e7ef4b707bc3c804307a3a88.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611988,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,088,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/35110646-86c8-4c58-9a83-e12b4693d306/manifest,,,,,161
内科病論 中篇,ナイカビョウロン|Naikabyouron,古典籍コレクション [医学図書館],日本語,,ベルツ原著|伊勢錠五郎 譯補|樫村清徳 校閲,,,,明治15-16年,1882,3冊 19cm,請求記号: ベルツ資料:J|資料解説: 著者のエルヴィン・フォン・ベルツ(独 1849-1913)は東京医学校(東京大学医学部)のお雇い外国人教師、在職期間は明治9年6月~35年7月。来日当初は生理学の講義を担当、前任者が帰国後に内科学、病理学などを担当し臨床の重要性を説いた。在職は26年間にも渡り、日本の学生への教育指導と患者の診療に力を尽くした。|刊年2: 1882-1883,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/18f73121-fee3-4aac-b1d2-da281d9f41a0.json,18f73121-fee3-4aac-b1d2-da281d9f41a0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/18f73121-fee3-4aac-b1d2-da281d9f41a0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fb53fcf03293d8d3a79446c1305225bf975ed077.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611987,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,089,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/18f73121-fee3-4aac-b1d2-da281d9f41a0/manifest,,,,,211
内科病論 下篇,ナイカビョウロン|Naikabyouron,古典籍コレクション [医学図書館],日本語,,ベルツ原著|伊勢錠五郎 譯補|樫村清徳 校閲,,,,明治15-16年,1882,3冊 19cm,請求記号: ベルツ資料:J|資料解説: 著者のエルヴィン・フォン・ベルツ(独 1849-1913)は東京医学校(東京大学医学部)のお雇い外国人教師、在職期間は明治9年6月~35年7月。来日当初は生理学の講義を担当、前任者が帰国後に内科学、病理学などを担当し臨床の重要性を説いた。在職は26年間にも渡り、日本の学生への教育指導と患者の診療に力を尽くした。|刊年2: 1882-1883,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6668603d-9c4a-4327-aac7-f3feaa861a49.json,6668603d-9c4a-4327-aac7-f3feaa861a49,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/6668603d-9c4a-4327-aac7-f3feaa861a49,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8f0bf4d8ad55824230422c1d1655570499fca818.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611986,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,090,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6668603d-9c4a-4327-aac7-f3feaa861a49/manifest,,,,,242
解剖図巻,カイボウズカン|Kaibouzukan,巻子本コレクション [医学図書館],日本語,,,,,,天明3年,,1軸 彩色図,請求記号: HR 253-2|資料解説: 小石元俊が天明3年の解剖をもとに著わした「平次郎臓図」の一部分を写した図と思われる。印記:「呉氏文庫」|刊年2: 1783,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2cc3797e-e9a6-4bb8-845d-9557e7d9872f.json,2cc3797e-e9a6-4bb8-845d-9557e7d9872f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/2cc3797e-e9a6-4bb8-845d-9557e7d9872f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/74be7244e7f4c2e983f4e5fdb435d3990c776c62.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611985,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,091,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2cc3797e-e9a6-4bb8-845d-9557e7d9872f/manifest,,,,,2
解体之図,カイタイノズ|Kaitainozu,巻子本コレクション [医学図書館],日本語,,,,,,慶応4年,,1軸 彩色図,請求記号: HR 313|刊年2: 1868,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ae4e6111-0dbc-4e90-9a18-a2ab923f0668.json,ae4e6111-0dbc-4e90-9a18-a2ab923f0668,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/ae4e6111-0dbc-4e90-9a18-a2ab923f0668,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d3442526be603949058a5d3a5da0b53142915402.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611984,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,092,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ae4e6111-0dbc-4e90-9a18-a2ab923f0668/manifest,,,,,2
解體図(女囚解剖図),カイタイズ|Kaitaizu,巻子本コレクション [医学図書館],日本語,,,,,,,,1軸 彩色図,請求記号: HR 319|資料解説: 長岡藩医、新川順庵による解剖の記録。長岡城下の刑場で行われた。「解体場全図」とあるのは巻頭に収録された腑分け場所の描写。これにより、当時の解剖現場を視覚的に確認することができる。,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/71ca856c-ffb8-4ad0-886e-4bc91e2b652e.json,71ca856c-ffb8-4ad0-886e-4bc91e2b652e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/71ca856c-ffb8-4ad0-886e-4bc91e2b652e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/040b2b7acd71d7eb76e503b88d746c29b4664bdc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611983,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,093,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/71ca856c-ffb8-4ad0-886e-4bc91e2b652e/manifest,,,,,2
鈴木氏脊髄図,スズキシセキズイズ|Suzukishisekizuizu,巻子本コレクション [医学図書館],日本語,,,,,,大正8年,,1軸 掛図,請求記号: HR 284|資料解説: 鈴木文太郎が解剖した20才男性の標本より、伊藤快彦画、小川一眞光筆印刷。鈴木文太郎(すずき ぶんたろう 1865-1921)は帝国大学医科大学(東京大学医学部)を卒業、京都帝国大学医科大学の初代解剖学教授を務める。著作に国際解剖学用語に基づく日本最初の解剖学用語集となる「解剖学名彙」などがある。|刊年2: 1919,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dee254f2-4bea-445c-bcaa-a21546d86b78.json,dee254f2-4bea-445c-bcaa-a21546d86b78,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/dee254f2-4bea-445c-bcaa-a21546d86b78,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/92ee5b586e10d28d2a9472b2346f87516cc9a1ad.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611982,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,094,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dee254f2-4bea-445c-bcaa-a21546d86b78/manifest,,,,,2
文化壬申解剖解観図,ブンカジンシンカイボウカイカンズ|Bunkajinshinkaiboukaikanzu,巻子本コレクション [医学図書館],日本語,,,,,,文化9年,,1軸 彩色図,請求記号: HR 253|資料解説: 小森桃塢、藤林普山が文化9年に京都で行った男性の解剖記録。|刊年2: 1812,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fea578ec-56c4-44fa-8f70-7bfacb585f0f.json,fea578ec-56c4-44fa-8f70-7bfacb585f0f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/fea578ec-56c4-44fa-8f70-7bfacb585f0f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a04b47231a238e0d1e576263fb4579eb3e085bb0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611981,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,095,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fea578ec-56c4-44fa-8f70-7bfacb585f0f/manifest,,,,,2
腹蔵図巻,フクゾウズカン|Fukuzouzukan,巻子本コレクション [医学図書館],日本語,,,,,,不明,,1軸 彩色図,請求記号: HR 294|刊年2: 不明,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7a991e60-76bd-40c8-ac3a-13e834635418.json,7a991e60-76bd-40c8-ac3a-13e834635418,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/7a991e60-76bd-40c8-ac3a-13e834635418,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2d609e60e9589f586a0da1e81798229b0a3f62bd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611980,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,096,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7a991e60-76bd-40c8-ac3a-13e834635418/manifest,,,,,2
玉碎臓図,ギョクサイゾウズ|Gyokusaizouzu,巻子本コレクション [医学図書館],日本語,,,,,,安永3年,,1軸 彩色図,請求記号: HR 50|資料解説: 山脇東洋の次男東門による明和8年(1771)12月25日の女体解剖。|刊年2: 1774,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0c0a2f99-2f14-4dfd-9b81-5754baddf541.json,0c0a2f99-2f14-4dfd-9b81-5754baddf541,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/0c0a2f99-2f14-4dfd-9b81-5754baddf541,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5b11cb9fe602608846f67ddda6ca0b6eecf7294a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611979,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,097,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0c0a2f99-2f14-4dfd-9b81-5754baddf541/manifest,,,,,2
平戸嵐山家旧蔵解剖図巻 上,ヒラドアラシヤマケキュウゾウカイボウズカン|Hiradoarashiyamakekiyuuzoukaibouzukan,巻子本コレクション [医学図書館]|呉秀三文庫,日本語,,,,,,不明,,2軸 写 彩色図,請求記号: 呉 5|登録番号: M26315|資料解説: 平戸嵐山家とは、平戸藩の藩医嵐山甫庵に始まる医家と推測されるが、解剖についての詳細は不明。印記:「呉氏文庫」|刊年2: 不明,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0df4e6d7-98d8-47b2-bdf0-1e73433d03b1.json,0df4e6d7-98d8-47b2-bdf0-1e73433d03b1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/0df4e6d7-98d8-47b2-bdf0-1e73433d03b1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fa734efc3624bdf8e4961fb66b89532b358498dd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611978,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,098,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0df4e6d7-98d8-47b2-bdf0-1e73433d03b1/manifest,,,,,2
平戸嵐山家旧蔵解剖図巻 下,ヒラドアラシヤマケキュウゾウカイボウズカン|Hiradoarashiyamakekiyuuzoukaibouzukan,巻子本コレクション [医学図書館]|呉秀三文庫,日本語,,,,,,不明,,2軸 写 彩色図,請求記号: 呉 5|登録番号: M26316|資料解説: 平戸嵐山家とは、平戸藩の藩医嵐山甫庵に始まる医家と推測されるが、解剖についての詳細は不明。印記:「呉氏文庫」|刊年2: 不明,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2fd122da-3b36-406d-9382-2460a88d889d.json,2fd122da-3b36-406d-9382-2460a88d889d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/2fd122da-3b36-406d-9382-2460a88d889d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e518b659f19f527a6e53d2b7cf0de671ea6a0a85.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611977,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,099,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2fd122da-3b36-406d-9382-2460a88d889d/manifest,,,,,2
医聖堂前哲帖,いせいどうぜんてつじょう|Iseidouzentetsujou,呉秀三文庫,日本語,,,,,,,,1帖 折帖 34cm,請求記号:呉 4|登録番号:M26314|解説:曲直瀬道三、前野良沢など室町~江戸時代の医師や蘭学者らの書画54点を、呉自身で折帖に仕立てたもの。 表紙の「芳渓」はもっとも多く使われた呉の号である。,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/207a5e64-0d77-5449-522b-72907a943153.json,207a5e64-0d77-5449-522b-72907a943153,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/207a5e64-0d77-5449-522b-72907a943153,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7ed71284f98562544c38c28a8f60663c47034a01.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611976,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,100,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/207a5e64-0d77-5449-522b-72907a943153/manifest,,,,,56
医聖堂前哲帖 1 曲直瀬道三,いせいどうぜんてつじょう|Iseidouzentetsujou,呉秀三文庫,日本語,,曲直瀬道三,まなせ どうさん|Manase Dosan,,,,,16.4×15.7cm,"室町後期・安土桃山時代の医師。日本医学中興の祖と称される。著作に「啓迪集」など。(1507-1594),杉田翼(玄白)の名の箋注のみあり、書画は欠。",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7872e794-0649-534d-4cab-28e7befe0534.json,7872e794-0649-534d-4cab-28e7befe0534,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/7872e794-0649-534d-4cab-28e7befe0534,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/88c6b7fab2158e931177e5c84486e05b92d271d0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611975,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,101,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7872e794-0649-534d-4cab-28e7befe0534/manifest,,,,,1
医聖堂前哲帖 2 桂川甫周,いせいどうぜんてつじょう|Iseidouzentetsujou,呉秀三文庫,日本語,,桂川甫周,かつらがわ ほしゅう|Katsuragawa Hoshu,,,,,23.6×20.4cm,江戸時代後期の蘭方医。桂川家4代目。「ターヘルアナトミア(解体新書)」の翻訳に最年少者としてたずさわった。(1751-1809),,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5f2d1812-1667-4a27-a00a-af6c7079588a.json,5f2d1812-1667-4a27-a00a-af6c7079588a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/5f2d1812-1667-4a27-a00a-af6c7079588a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d6e683887dccec2c57156f6defcac6e253045084.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611974,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,102,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5f2d1812-1667-4a27-a00a-af6c7079588a/manifest,,,,,1
医聖堂前哲帖 3 石坂[ 宗哲 ],いせいどうぜんてつじょう|Iseidouzentetsujou,呉秀三文庫,日本語,,石坂[ 宗哲 ],いしざか そうてつ|Ishizaka Sotetsu,,,,,20.9×17.8cm,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/aa8e68b1-3b9d-0f59-820e-f62927f11c3f.json,aa8e68b1-3b9d-0f59-820e-f62927f11c3f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/aa8e68b1-3b9d-0f59-820e-f62927f11c3f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/20bd4f08c91cb7fc4fc65858fa5f46d5083e2006.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611973,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,103,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/aa8e68b1-3b9d-0f59-820e-f62927f11c3f/manifest,,,,,1
医聖堂前哲帖 4 小野蘭山,いせいどうぜんてつじょう|Iseidouzentetsujou,呉秀三文庫,日本語,,小野蘭山,おの らんざん|Ono Ranzan,,,,,25.5×19cm,江戸時代中期-後期の本草学者。ひろく植物採集をおこない、わが国の本草学を集大成した。著作に「本草綱目啓蒙」など。(1729-1810),,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/63d79649-81bd-0d44-88d9-1b2911b200fb.json,63d79649-81bd-0d44-88d9-1b2911b200fb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/63d79649-81bd-0d44-88d9-1b2911b200fb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9207aaad81298ddc372fbf7968b811b208ad349f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611972,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,104,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/63d79649-81bd-0d44-88d9-1b2911b200fb/manifest,,,,,1
医聖堂前哲帖 5 箕作阮甫,いせいどうぜんてつじょう|Iseidouzentetsujou,呉秀三文庫,日本語,,箕作阮甫,みつくり げんぽ|Mitsukuri Gempo,,,,,25.9×19cm,江戸時代末期の蘭方医。宇田川榛斎のもとで蘭学を学ぶ。蕃書調所の教授。種痘所の設立に参画した。(1799-1863),,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b16b98ea-0352-830c-634f-652b60877c69.json,b16b98ea-0352-830c-634f-652b60877c69,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/b16b98ea-0352-830c-634f-652b60877c69,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ece904e6f52cd9f8d7e1b1c8517723c08839ff03.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/611971,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,105,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b16b98ea-0352-830c-634f-652b60877c69/manifest,,,,,1
