タイトル,分類1,分類2,解説1,第一中学本,図版番号,開成学校本,キーワード,サイズ,帝国大学本,タイトル2,東京大学本,解説2,解説3,解説4,解説5,解説6,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
PL.20 MÉCANIQUE No.18,MÉCANIQUE,No.18,POMPES,○,PL.20,―,機械/ポンプ,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN DES POMPES ALIMENTAIRES DES NOUVELLES LOCOMOTIVES &Agrave; MARCHANDISES,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/686abbdb-0eea-2c6e-76c7-4e21bbfb5075.json,686abbdb-0eea-2c6e-76c7-4e21bbfb5075,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/686abbdb-0eea-2c6e-76c7-4e21bbfb5075,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ab49d274aee6934c8ae4a7f7b6ac3be34df6761b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541661,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,020,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/686abbdb-0eea-2c6e-76c7-4e21bbfb5075/manifest,,,,,1
PL.21 MÉCANIQUE No.19,MÉCANIQUE,No.19,MACHINE LOCOMOBILE,○,PL.21,―,ロコモービル/移動式蒸気機関,A3,―,-,○,"DESSIN SIMPLIFI&Eacute; DES NOUVELLES LOCOMOBILES de Mr. CALLA, Constructeur &agrave; Paris. Mod&egrave;le de la force de 6 &agrave; 8 chevaux-vapeur et du poids total de 3500 Kg",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bb65fb26-8c27-9713-0404-23bed04c9739.json,bb65fb26-8c27-9713-0404-23bed04c9739,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/bb65fb26-8c27-9713-0404-23bed04c9739,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7e1c8bda4ac6017ec500d2d6e09fa6f9d49ce20b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541660,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,021,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bb65fb26-8c27-9713-0404-23bed04c9739/manifest,,,,,1
PL.22 MÉCANIQUE No.20,MÉCANIQUE,No.20,POULIES,○,PL.22,―,機械部品,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN D'UNE POULIE &Agrave; CHA&Icirc;NE,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2a040dc9-03ce-51b3-2b28-69f48d371e25.json,2a040dc9-03ce-51b3-2b28-69f48d371e25,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/2a040dc9-03ce-51b3-2b28-69f48d371e25,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cfec1ce91aeb1dd71511c21816fe10c201e181ab.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541659,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,022,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2a040dc9-03ce-51b3-2b28-69f48d371e25/manifest,,,,,1
PL.23 MAÇONNERIE No.2,MAÇONNERIE,No.2,DESSIN D'EX&Eacute;CUTION D'UN PONCEAU AVEC MURS EN RETOUR D'&Eacute;QUERRE,○,PL.23,―,石橋,A3,○,DESSIN À L'USAGE DES CHANTIERS,―,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8d7eb91b-888c-5fcd-5de5-55a44045058f.json,8d7eb91b-888c-5fcd-5de5-55a44045058f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/8d7eb91b-888c-5fcd-5de5-55a44045058f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/27ac320ab1731d481177973fd999190f9e6fe4f0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541658,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,023,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8d7eb91b-888c-5fcd-5de5-55a44045058f/manifest,,,,,1
PL.24 MÉCANIQUE No.21,MÉCANIQUE,No.21,TREUILS,○,PL.24,―,巻き上げ機,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN D'UN TREUIL &Agrave; ENGRENAGES.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/608b8c13-272d-4590-829f-8321d50457e0.json,608b8c13-272d-4590-829f-8321d50457e0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/608b8c13-272d-4590-829f-8321d50457e0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/777e2fc36960868cd710bfbf5b7b07bdc5973146.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541657,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,024,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/608b8c13-272d-4590-829f-8321d50457e0/manifest,,,,,1
PL.25 MÉCANIQUE No.22,MÉCANIQUE,No.22,MACHINES À VAPEUR,○,PL.25,―,蒸気機関,A3,―,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN TYPE D'UNE MACHINE &Agrave; VAPEUR &Agrave; ACTION DIRECTE,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/930401cb-6330-4cc7-0560-c7fba8342838.json,930401cb-6330-4cc7-0560-c7fba8342838,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/930401cb-6330-4cc7-0560-c7fba8342838,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/046aed736bcf8b7e10f8595df278b35998525684.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541656,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,025,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/930401cb-6330-4cc7-0560-c7fba8342838/manifest,,,,,1
PL.26 MÉCANIQUE No.23,MÉCANIQUE,No.23,MACHINES LOCOMOTIVES,○,PL.26,―,蒸気機関車,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,"DESSIN SIMPLIFI&Eacute; DES MACHINES A VOYAGEURS DU CHEMIN DE FER DU NORD, construites d'apr&egrave;s les plans modifi&eacute;s de R. Stephenson._Machines &agrave; cylindres ext&eacute;rieurs.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dda1587b-07d7-575b-41ce-8f87718765d9.json,dda1587b-07d7-575b-41ce-8f87718765d9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/dda1587b-07d7-575b-41ce-8f87718765d9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4f7bc984c50f92993d01739ac54cdf1961ad55b0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541655,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,026,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dda1587b-07d7-575b-41ce-8f87718765d9/manifest,,,,,1
PL.27 MAÇONNERIE No.3,MAÇONNERIE,No.3,PONTS,○,PL.27,―,石橋,A3,○,DESSIN À L'USAGE DES CHANTIERS,―,DESSIN DU PONT BIAIS CONSTRUIT SUR LA RUE DE CAMBRAI &Agrave; LA VILLETTE,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ffd34517-546b-9071-136a-7539b9724421.json,ffd34517-546b-9071-136a-7539b9724421,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/ffd34517-546b-9071-136a-7539b9724421,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7f80bd04f8abc9afe2876c22142b3427fbc13b88.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541654,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,027,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ffd34517-546b-9071-136a-7539b9724421/manifest,,,,,1
PL.28 CHARPENTE No.2,CHARPENTE,No.2,COMBLES,○,PL.28,―,屋根組み,A3,○,DESSIN À L'USAGE DES CHANTIERS,―,"DESSIN DU COMBLE QUI COUVRE LE NOUVEAU MARCH&Eacute; DE PASSY (Seine)_Comble surbaiss&eacute; construit en bois de sapin et en fer, et couvert en ardoises.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7a83fb87-9f6e-7715-3e68-49ee22a0a0b9.json,7a83fb87-9f6e-7715-3e68-49ee22a0a0b9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/7a83fb87-9f6e-7715-3e68-49ee22a0a0b9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/771cde63408f45b4b0699903c2bafae5ab8c4236.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541653,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,028,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7a83fb87-9f6e-7715-3e68-49ee22a0a0b9/manifest,,,,,1
PL.29 MÉCANIQUE No.24,MÉCANIQUE,No.24,MACHINES LOCOMOTIVES,―,PL.29,―,蒸気機関車,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,"DESSIN DE LA COULISSE DE R. STEPHENSON, ou m&eacute;canisme de distribution de vapeur et de changement de marche",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/af31e297-1e3e-286d-5ac5-4e4b632f2796.json,af31e297-1e3e-286d-5ac5-4e4b632f2796,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/af31e297-1e3e-286d-5ac5-4e4b632f2796,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0ec5a4c698c4a0b242b4bd0c8875a007caf1b7a6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541652,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,029,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/af31e297-1e3e-286d-5ac5-4e4b632f2796/manifest,,,,,1
PL.30 MÉCANIQUE No.25,MÉCANIQUE,No.25,ENGRENAGES DROITS OU CYLINDRIQUES,○,PL.30,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN D'UN ENGRENAGE &Agrave; CHAINE (avec chaine dite &agrave; l'anglaise),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e6cb3cb5-06f2-7504-3cf3-be9c9e90550d.json,e6cb3cb5-06f2-7504-3cf3-be9c9e90550d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/e6cb3cb5-06f2-7504-3cf3-be9c9e90550d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/209101edf82e768ca7a89c2fdc2cb09d56681300.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541651,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,030,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e6cb3cb5-06f2-7504-3cf3-be9c9e90550d/manifest,,,,,1
PL.31 MÉCANIQUE No.26,MÉCANIQUE,No.26,MACHINES À VAPEUR,○,PL.31,―,蒸気機関,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN D'UNE MACHINE &Agrave; VAPEUR VERTICALE &Agrave; COLONNES,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/595c2ee9-92b9-4cc3-67c9-854d08d54a89.json,595c2ee9-92b9-4cc3-67c9-854d08d54a89,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/595c2ee9-92b9-4cc3-67c9-854d08d54a89,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b9b2d14255ad50d5249723796129fc7c9c1d0fff.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541650,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,031,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/595c2ee9-92b9-4cc3-67c9-854d08d54a89/manifest,,,,,1
PL.32 MAÇONNERIE No.4,MAÇONNERIE,No.4,PONTS,○,PL.32,―,石橋,A3,○,DESSIN À L'USAGE DES CHANTIERS,―,DESSIN D'EX&Eacute;CUTION D'UN PONCEAU AVEC MURS EN AILE,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/08bb24d7-7581-7f42-0750-ee77a41e727b.json,08bb24d7-7581-7f42-0750-ee77a41e727b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/08bb24d7-7581-7f42-0750-ee77a41e727b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/63aaf85c8188d1a19dc7e99d47df3cfa21132983.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541649,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,032,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/08bb24d7-7581-7f42-0750-ee77a41e727b/manifest,,,,,1
PL.33 MÉCANIQUE No.27,MÉCANIQUE,No.27,MARTEAUX DE FORGES,○,PL.33,―,機械/蒸気ハンマー,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN D'UN MARTEAU A BASCULE AVEC MACHINE &Agrave; VAPEUR MOTRICE,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c9c95776-2db7-581d-5d13-4cba896a208c.json,c9c95776-2db7-581d-5d13-4cba896a208c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/c9c95776-2db7-581d-5d13-4cba896a208c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/09f77633c8b7f45b4579edb5e2652c31abf0a23a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541648,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,033,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c9c95776-2db7-581d-5d13-4cba896a208c/manifest,,,,,1
PL.34 MÉCANIQUE No.28,MÉCANIQUE,No.28,GRUES,○,PL.34,―,起重機,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN DES PETITES GRUES FIXES &Eacute;TABLIES SUR LES BATEAUX &Agrave; VAPEUR LES PORTEURS,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/71774b7b-a468-9d6f-803e-d3900da96fd1.json,71774b7b-a468-9d6f-803e-d3900da96fd1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/71774b7b-a468-9d6f-803e-d3900da96fd1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/18b4f49dd2482a8ba025e4ae49fcdd4f340d5ff0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541647,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,034,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/71774b7b-a468-9d6f-803e-d3900da96fd1/manifest,,,,,1
PL.35 MÉCANIQUE No.29,MÉCANIQUE,No.29,ORGANES REGULATEURS,○,PL.35,―,調速機,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN D'UN MOD&Eacute;RATEUR A FORCE CENTRIFUGE,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1105b4f1-69c0-1911-25dd-6e8747b83c07.json,1105b4f1-69c0-1911-25dd-6e8747b83c07,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/1105b4f1-69c0-1911-25dd-6e8747b83c07,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f752e38be63afb7a5f7b5cd2946584765d3dbb56.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541646,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,035,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1105b4f1-69c0-1911-25dd-6e8747b83c07/manifest,,,,,1
PL.36 MÉCANIQUE No.30,MÉCANIQUE,No.30,ENGRENAGES,○,PL.36,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,"DESSIN D'UN ENGRENAGE CONIQUE OU D'UN ENGRENAGE FORME PAR DEUX ROUES D'ANGLE. (Echelle de 0 m, 50 pr. m&egrave;tre ou de 1/2 d'ex&eacute;cution.)",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/32ceb1fe-904e-74a7-9dec-a2f0898aa082.json,32ceb1fe-904e-74a7-9dec-a2f0898aa082,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/32ceb1fe-904e-74a7-9dec-a2f0898aa082,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ca0ebd5c2921799f00c86567c037d7554c2606fe.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541645,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,036,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/32ceb1fe-904e-74a7-9dec-a2f0898aa082/manifest,,,,,1
PL.37 MÉCANIQUE No.31,MÉCANIQUE,No.31,ORGANES D'ARRÈT._FREINS,○,PL.37,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN D'UN FREIN APPLIQU&Eacute; AU TREUIL &Agrave; ENGRENAGES D'UNE GRUE,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/499f8821-2715-3d65-7021-089f2dc31e3c.json,499f8821-2715-3d65-7021-089f2dc31e3c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/499f8821-2715-3d65-7021-089f2dc31e3c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/50c4912bec543b2e3c4c6bcb7eda9adb835342f5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541644,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,037,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/499f8821-2715-3d65-7021-089f2dc31e3c/manifest,,,,,1
PL.38 MÉCANIQUE No.32,MÉCANIQUE,No.32,ENGRENAGES,○,PL.38,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN D'UN ENGRENAGE &Agrave; VIS (SANS FIN) OU D'UN ENGRENAGE FORM&Eacute; PAR UNE VIS ET UNE ROUE DENT&Eacute;E,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a41804c4-090c-6f8a-1f0a-fa8c5d4d603b.json,a41804c4-090c-6f8a-1f0a-fa8c5d4d603b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/a41804c4-090c-6f8a-1f0a-fa8c5d4d603b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fc670aa16ef14ad0b0c99f82e74114bbf00eeba0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541643,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,038,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a41804c4-090c-6f8a-1f0a-fa8c5d4d603b/manifest,,,,,1
PL.39 CHARPENTE No.3,CHARPENTE,No.3,COMBLES,○,PL.39,―,屋根組み,A3,○,DESSIN À L'USAGE DES CHANTIERS,―,DESSIN DU COMBLE DU MAGASIN MILITAIRE &Agrave; FOURRAGES CONSTRUIT SUR LE QUAI DE LA RAP&Eacute;E &Agrave; PARIS,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bc7a3593-9483-85cb-90d6-f0a9e11439d4.json,bc7a3593-9483-85cb-90d6-f0a9e11439d4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/bc7a3593-9483-85cb-90d6-f0a9e11439d4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/95a76bbc057040f50de66333295dec7bc14e3ad5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541642,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,039,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bc7a3593-9483-85cb-90d6-f0a9e11439d4/manifest,,,,,1
