タイトル,概要,flickr,データのタイトル,データの識別子,著作のタイトル,著作の責任,著作の時期,著作の年,著作の構成,バージョンの責任,バージョンの成立時期,バージョンの成立年,バージョンの技法,バージョンの大きさ（縦×横）,バージョンの行字数,資料化の技法,外題,数量,装訂,大きさ（縦×横）,印記,出所,状態,請求記号,原簿番号,付加的記載,参考文献,資料化の時期,資料化の年,バージョンの成立場所,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
偽絳帖 七 [A005936-07],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157681672890614/,偽絳帖十二巻 Wei Jiang Tie 12 juan 伪绛帖十二卷 偽絳帖十二卷,A005936,(巻首題)絳帖,,明*,14-17世紀*,12巻,,,,石刻,,,拓本,絳帖,12冊,画帖装,33.4×20.0cm,"東京帝国大学図書印, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5936,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.79-81",,,,2a5caa74-6ae6-42e1-a3a5-cd5f26c01a02,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/2a5caa74-6ae6-42e1-a3a5-cd5f26c01a02,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167794/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167794,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005936-07,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167794/manifest,,,,,19
偽絳帖 八 [A005936-08],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157682477156851/,偽絳帖十二巻 Wei Jiang Tie 12 juan 伪绛帖十二卷 偽絳帖十二卷,A005936,(巻首題)絳帖,,明*,14-17世紀*,12巻,,,,石刻,,,拓本,絳帖,12冊,画帖装,33.4×20.0cm,"東京帝国大学図書印, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5936,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.79-81",,,,13669a14-908f-4170-9572-a93addda5aa1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/13669a14-908f-4170-9572-a93addda5aa1,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167795/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167795,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005936-08,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167795/manifest,,,,,21
偽絳帖 九 [A005936-09],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157684620678446/,偽絳帖十二巻 Wei Jiang Tie 12 juan 伪绛帖十二卷 偽絳帖十二卷,A005936,(巻首題)絳帖,,明*,14-17世紀*,12巻,,,,石刻,,,拓本,絳帖,12冊,画帖装,33.4×20.0cm,"東京帝国大学図書印, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5936,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.79-81",,,,9512c62e-1f04-41ca-ade3-49887ba16429,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/9512c62e-1f04-41ca-ade3-49887ba16429,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167796/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167796,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005936-09,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167796/manifest,,,,,20
偽絳帖 十 [A005936-10],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157684620422326/,偽絳帖十二巻 Wei Jiang Tie 12 juan 伪绛帖十二卷 偽絳帖十二卷,A005936,(巻首題)絳帖,,明*,14-17世紀*,12巻,,,,石刻,,,拓本,絳帖,12冊,画帖装,33.4×20.0cm,"東京帝国大学図書印, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5936,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.79-81",,,,412a9376-1d38-4f9f-87d1-72da9e155314,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/412a9376-1d38-4f9f-87d1-72da9e155314,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167797/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167797,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005936-10,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167797/manifest,,,,,18
偽絳帖 十一 [A005936-11],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157682720804470/,偽絳帖十二巻 Wei Jiang Tie 12 juan 伪绛帖十二卷 偽絳帖十二卷,A005936,(巻首題)絳帖,,明*,14-17世紀*,12巻,,,,石刻,,,拓本,絳帖,12冊,画帖装,33.4×20.0cm,"東京帝国大学図書印, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5936,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.79-81",,,,b1122fd0-b4de-4669-a043-30471d5ac740,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/b1122fd0-b4de-4669-a043-30471d5ac740,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167798/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167798,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005936-11,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167798/manifest,,,,,18
偽絳帖 十二 [A005936-12],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157684620068016/,偽絳帖十二巻 Wei Jiang Tie 12 juan 伪绛帖十二卷 偽絳帖十二卷,A005936,(巻首題)絳帖,,明*,14-17世紀*,12巻,,,,石刻,,,拓本,絳帖,12冊,画帖装,33.4×20.0cm,"東京帝国大学図書印, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5936,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.79-81",,,,40cd9260-563b-4cbc-bdd3-875813076246,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/40cd9260-563b-4cbc-bdd3-875813076246,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167799/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167799,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005936-12,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167799/manifest,,,,,16
宣和秘閣帖 六 [A005939],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157681670645414/,宣和秘閣帖残一巻 Xuanhe Mige Tie can 1 juan 宣和秘阁帖残一卷 宣和祕閣帖殘一卷,A005939,(巻首題)秘閣帖,,明初期*,14-15世紀*,,,,,石刻,,,拓本,秘閣帖,1冊,画帖装,31.1×15.0cm,"東京帝国大学図書印, 南葵文庫, 内府図書, 朱, 儼斎秘玩, 館氏石香斎珍蔵図書記, 肇錫余以嘉名","徳川慶喜旧蔵, 東京大学総合図書館所蔵",巻第6のみ存する,A00-5939,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.79, 81",,,,5e57aaea-5b0e-4544-a336-bf9b0ccd71d6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/5e57aaea-5b0e-4544-a336-bf9b0ccd71d6,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167800/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167800,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005939-00,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167800/manifest,,,,,29
阿毘達磨大毘婆沙論 一百一十三 [A006036-01],中国南宋時代に刊行された仏教経典(部分)。青洲文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157693612764364,宋版大蔵経零本五巻 Song ban Dazangjing lingben 5 juan 宋版大藏经零本五卷 宋版大藏經零本五卷,A006036,,,,,,円覚禅院刊,(南宋)紹興2年*,1132年*,木版,(内框)24.5×11.4cm,6行行17字,印本,"阿毘達磨大毘婆沙論巻第一百一十三, 中阿含経二十五(零本), 法華文句科第三(零本), 曇無徳部四分律刪補随機羯磨中(零本), 涅槃経疏三徳指帰巻第十五(零本)",5帖,折帖装,30.8×11.6cm,"東京帝国大学図書印, 金沢文庫","渡辺信旧蔵**, 東京大学総合図書館所蔵","阿毘達磨大毘婆沙論巻第一百一十三, 中阿含経二十五残, 法華文句科第三残 曇無徳部四分律刪補随機羯磨中残, 涅槃経疏三徳指帰巻第十五残のみ存する, 裏打ち修復済み",A00-6036,B7874,藤原時朝識語,"*上杉智英「思渓版大蔵経研究の回顧と課題」, 『印度學佛教學研究』65巻1号, pp.170-175, 2016<a href=""#//doi.org/10.4259/ibk.65.1_170"" rel=""nofollow"">https://doi.org/10.4259/ibk.65.1_170</a>, **東京大学附属図書館「東京大学総合図書館の漢籍とその旧蔵者たち」<a href=""http://www-old.lib.u-tokyo.ac.jp/tenjikai/tenjikai95/k26.html"" rel=""nofollow"">www-old.lib.u-tokyo.ac.jp/tenjikai/tenjikai95/k26.html</a>",,,湖州帰安県思渓邨**,630f2331-35b2-41fb-8361-1f851900decc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/630f2331-35b2-41fb-8361-1f851900decc,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/186431/39851029105_ac09abd692_o.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186431,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A006036-01,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186431/manifest,,,,,48
中阿含経 二十五残 [A006036-02],中国南宋時代に刊行された仏教経典(部分)。青洲文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157693613098554,宋版大蔵経零本五巻 Song ban Dazangjing lingben 5 juan 宋版大藏经零本五卷 宋版大藏經零本五卷,A006036,,,,,,円覚禅院刊,(南宋)紹興2年*,1132年*,木版,(内框)24.5×11.4cm,6行行17字,印本,"阿毘達磨大毘婆沙論巻第一百一十三, 中阿含経二十五(零本), 法華文句科第三(零本), 曇無徳部四分律刪補随機羯磨中(零本), 涅槃経疏三徳指帰巻第十五(零本)",5帖,折帖装,30.8×11.6cm,"東京帝国大学図書印, 金沢文庫","渡辺信旧蔵**, 東京大学総合図書館所蔵","阿毘達磨大毘婆沙論巻第一百一十三, 中阿含経二十五残, 法華文句科第三残 曇無徳部四分律刪補随機羯磨中残, 涅槃経疏三徳指帰巻第十五残のみ存する, 裏打ち修復済み",A00-6036,B7874,藤原時朝識語,"*上杉智英「思渓版大蔵経研究の回顧と課題」, 『印度學佛教學研究』65巻1号, pp.170-175, 2016<a href=""#//doi.org/10.4259/ibk.65.1_170"" rel=""nofollow"">https://doi.org/10.4259/ibk.65.1_170</a>, **東京大学附属図書館「東京大学総合図書館の漢籍とその旧蔵者たち」<a href=""http://www-old.lib.u-tokyo.ac.jp/tenjikai/tenjikai95/k26.html"" rel=""nofollow"">www-old.lib.u-tokyo.ac.jp/tenjikai/tenjikai95/k26.html</a>",,,湖州帰安県思渓邨**,74acc129-a97a-4ce4-8790-b0cdc745bafc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/74acc129-a97a-4ce4-8790-b0cdc745bafc,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/186432/39851273275_883a1c50c7_o.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186432,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A006036-02,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186432/manifest,,,,,6
法華文句科 三残 [A006036-03],中国南宋時代に刊行された仏教経典(部分)。青洲文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157692607976871,宋版大蔵経零本五巻 Song ban Dazangjing lingben 5 juan 宋版大藏经零本五卷 宋版大藏經零本五卷,A006036,,,,,,円覚禅院刊,(南宋)紹興2年*,1132年*,木版,(内框)24.5×11.4cm,6行行17字,印本,"阿毘達磨大毘婆沙論巻第一百一十三, 中阿含経二十五(零本), 法華文句科第三(零本), 曇無徳部四分律刪補随機羯磨中(零本), 涅槃経疏三徳指帰巻第十五(零本)",5帖,折帖装,30.8×11.6cm,"東京帝国大学図書印, 金沢文庫","渡辺信旧蔵**, 東京大学総合図書館所蔵","阿毘達磨大毘婆沙論巻第一百一十三, 中阿含経二十五残, 法華文句科第三残 曇無徳部四分律刪補随機羯磨中残, 涅槃経疏三徳指帰巻第十五残のみ存する, 裏打ち修復済み",A00-6036,B7874,藤原時朝識語,"*上杉智英「思渓版大蔵経研究の回顧と課題」, 『印度學佛教學研究』65巻1号, pp.170-175, 2016<a href=""#//doi.org/10.4259/ibk.65.1_170"" rel=""nofollow"">https://doi.org/10.4259/ibk.65.1_170</a>, **東京大学附属図書館「東京大学総合図書館の漢籍とその旧蔵者たち」<a href=""http://www-old.lib.u-tokyo.ac.jp/tenjikai/tenjikai95/k26.html"" rel=""nofollow"">www-old.lib.u-tokyo.ac.jp/tenjikai/tenjikai95/k26.html</a>",,,湖州帰安県思渓邨**,437f2dbf-0233-4cf0-9d9b-e8ceb0fe451b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/437f2dbf-0233-4cf0-9d9b-e8ceb0fe451b,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/186433/40746273551_65c02b57be_o.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186433,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A006036-03,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186433/manifest,,,,,12
曇無徳部四分律刪補随機羯磨 中残 [A006036-04],中国南宋時代に刊行された仏教経典(部分)。青洲文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157688682029550,宋版大蔵経零本五巻 Song ban Dazangjing lingben 5 juan 宋版大藏经零本五卷 宋版大藏經零本五卷,A006036,,,,,,円覚禅院刊,(南宋)紹興2年*,1132年*,木版,(内框)24.5×11.4cm,6行行17字,印本,"阿毘達磨大毘婆沙論巻第一百一十三, 中阿含経二十五(零本), 法華文句科第三(零本), 曇無徳部四分律刪補随機羯磨中(零本), 涅槃経疏三徳指帰巻第十五(零本)",5帖,折帖装,30.8×11.6cm,"東京帝国大学図書印, 金沢文庫","渡辺信旧蔵**, 東京大学総合図書館所蔵","阿毘達磨大毘婆沙論巻第一百一十三, 中阿含経二十五残, 法華文句科第三残 曇無徳部四分律刪補随機羯磨中残, 涅槃経疏三徳指帰巻第十五残のみ存する, 裏打ち修復済み",A00-6036,B7874,藤原時朝識語,"*上杉智英「思渓版大蔵経研究の回顧と課題」, 『印度學佛教學研究』65巻1号, pp.170-175, 2016<a href=""#//doi.org/10.4259/ibk.65.1_170"" rel=""nofollow"">https://doi.org/10.4259/ibk.65.1_170</a>, **東京大学附属図書館「東京大学総合図書館の漢籍とその旧蔵者たち」<a href=""http://www-old.lib.u-tokyo.ac.jp/tenjikai/tenjikai95/k26.html"" rel=""nofollow"">www-old.lib.u-tokyo.ac.jp/tenjikai/tenjikai95/k26.html</a>",,,湖州帰安県思渓邨**,94188fa6-e976-4168-bcb7-26e441e1cc7f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/94188fa6-e976-4168-bcb7-26e441e1cc7f,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/186434/38936093780_0ef44e4d35_o.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186434,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A006036-04,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186434/manifest,,,,,5
涅槃経疏三徳指帰 十五残 [A006036-05],中国南宋時代に刊行された仏教経典(部分)。青洲文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157688682156410,宋版大蔵経零本五巻 Song ban Dazangjing lingben 5 juan 宋版大藏经零本五卷 宋版大藏經零本五卷,A006036,,,,,,円覚禅院刊,(南宋)紹興2年*,1132年*,木版,(内框)24.5×11.4cm,6行行17字,印本,"阿毘達磨大毘婆沙論巻第一百一十三, 中阿含経二十五(零本), 法華文句科第三(零本), 曇無徳部四分律刪補随機羯磨中(零本), 涅槃経疏三徳指帰巻第十五(零本)",5帖,折帖装,30.8×11.6cm,"東京帝国大学図書印, 金沢文庫","渡辺信旧蔵**, 東京大学総合図書館所蔵","阿毘達磨大毘婆沙論巻第一百一十三, 中阿含経二十五残, 法華文句科第三残 曇無徳部四分律刪補随機羯磨中残, 涅槃経疏三徳指帰巻第十五残のみ存する, 裏打ち修復済み",A00-6036,B7874,藤原時朝識語,"*上杉智英「思渓版大蔵経研究の回顧と課題」, 『印度學佛教學研究』65巻1号, pp.170-175, 2016<a href=""#//doi.org/10.4259/ibk.65.1_170"" rel=""nofollow"">https://doi.org/10.4259/ibk.65.1_170</a>, **東京大学附属図書館「東京大学総合図書館の漢籍とその旧蔵者たち」<a href=""http://www-old.lib.u-tokyo.ac.jp/tenjikai/tenjikai95/k26.html"" rel=""nofollow"">www-old.lib.u-tokyo.ac.jp/tenjikai/tenjikai95/k26.html</a>",,,湖州帰安県思渓邨**,8e4d3d09-9304-4001-91fe-883e2359620b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/8e4d3d09-9304-4001-91fe-883e2359620b,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/186435/39851598825_1c5a775496_o.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186435,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A006036-05,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186435/manifest,,,,,7
戯鴻堂法書 一[A006096-01],明・董其昌輯。中国で刊行された法帖。青洲文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157684586147916/,戯鴻堂法書十六巻 Xihongtang Fashu 16 juan 戏鸿堂法书十六卷 戲鴻堂法書十六卷,A006096,(巻首題)戯鴻堂法書,(明)董其昌輯,(明)万暦31年,1603年,16巻,(明)董其昌刻,(明)万暦31年,1603年,石刻,,,拓本,,16冊,折帖装,28.4×14.9cm,"東京帝国大学図書印, 明倫堂図書, 渡辺氏図書記","渡辺信旧蔵, 東京大学総合図書館所蔵",,A00-6096,,,"宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.111-112",,,松江府華亭県,be080929-ba85-4d97-8805-6b49a8ac6fb1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/be080929-ba85-4d97-8805-6b49a8ac6fb1,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167801/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167801,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A006096-01,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167801/manifest,,,,,40
戯鴻堂法書 二[A006096-02],明・董其昌輯。中国で刊行された法帖。青洲文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157682444795881/,戯鴻堂法書十六巻 Xihongtang Fashu 16 juan 戏鸿堂法书十六卷 戲鴻堂法書十六卷,A006096,(巻首題)戯鴻堂法書,(明)董其昌輯,(明)万暦31年,1603年,16巻,(明)董其昌刻,(明)万暦31年,1603年,石刻,,,拓本,,16冊,折帖装,28.4×14.9cm,"東京帝国大学図書印, 明倫堂図書, 渡辺氏図書記","渡辺信旧蔵, 東京大学総合図書館所蔵",,A00-6096,,,"宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.111-112",,,松江府華亭県,ed9722f3-ca75-4703-8d1c-14700546256c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/ed9722f3-ca75-4703-8d1c-14700546256c,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167802/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167802,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A006096-02,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167802/manifest,,,,,33
戯鴻堂法書 三[A006096-03],明・董其昌輯。中国で刊行された法帖。青洲文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157681633168924/,戯鴻堂法書十六巻 Xihongtang Fashu 16 juan 戏鸿堂法书十六卷 戲鴻堂法書十六卷,A006096,(巻首題)戯鴻堂法書,(明)董其昌輯,(明)万暦31年,1603年,16巻,(明)董其昌刻,(明)万暦31年,1603年,石刻,,,拓本,,16冊,折帖装,28.4×14.9cm,"東京帝国大学図書印, 明倫堂図書, 渡辺氏図書記","渡辺信旧蔵, 東京大学総合図書館所蔵",,A00-6096,,,"宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.111-112",,,松江府華亭県,23ae5ea3-261a-4691-9399-afaec48eebad,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/23ae5ea3-261a-4691-9399-afaec48eebad,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167803/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167803,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A006096-03,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167803/manifest,,,,,29
