タイトル,巻号,西暦,発行日,発行機関,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
水戸商業会議所月報 第70号 大正6年3月25日,第70号,1917,大正6年3月25日,水戸商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/242931b5-1434-03c1-71d5-ea36dab3879e.json,242931b5-1434-03c1-71d5-ea36dab3879e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/242931b5-1434-03c1-71d5-ea36dab3879e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fb8796d00e1eda9d011547adc8bf215b02ec0ea7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612772,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0085,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/242931b5-1434-03c1-71d5-ea36dab3879e/manifest,,,,,3
水戸商業会議所月報 第71号 大正6年4月25日,第71号,1917,大正6年4月25日,水戸商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/56fc9ef2-6ae8-803f-5c0f-18ebbd3850b2.json,56fc9ef2-6ae8-803f-5c0f-18ebbd3850b2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/56fc9ef2-6ae8-803f-5c0f-18ebbd3850b2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dd9764c1ff72d4431431558a7afa3cdc27185702.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612771,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0086,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56fc9ef2-6ae8-803f-5c0f-18ebbd3850b2/manifest,,,,,3
水戸商業会議所月報 第72号 大正6年5月25日,第72号,1917,大正6年5月25日,水戸商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/87319e34-45a6-22b3-7c7e-6f89f6df846c.json,87319e34-45a6-22b3-7c7e-6f89f6df846c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/87319e34-45a6-22b3-7c7e-6f89f6df846c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2d9634eedb6a2dbd00faa0a3c3624169e3502fb9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612770,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0087,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/87319e34-45a6-22b3-7c7e-6f89f6df846c/manifest,,,,,3
水戸商業会議所月報 第73号 大正6年6月25日,第73号,1917,大正6年6月25日,水戸商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9a0947e8-9bb0-9e03-8490-36b5af080f95.json,9a0947e8-9bb0-9e03-8490-36b5af080f95,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/9a0947e8-9bb0-9e03-8490-36b5af080f95,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9b38a2dec72d6a7ce3a45203781f6489ec7d85f2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612769,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0088,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9a0947e8-9bb0-9e03-8490-36b5af080f95/manifest,,,,,3
富山商業月報 第76号 大正5年8月15日,第76号,1916,大正5年8月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4591a172-6fc4-a68f-058f-77e3662c874a.json,4591a172-6fc4-a68f-058f-77e3662c874a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/4591a172-6fc4-a68f-058f-77e3662c874a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/35118f860d2af36c1f6db2e5a7bdcbe67464fd0e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612768,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0089,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4591a172-6fc4-a68f-058f-77e3662c874a/manifest,,,,,5
富山商業月報 第77号 大正5年9月15日,第77号,1916,大正5年9月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3edad42a-6052-83cb-8283-4fdc6d1a8737.json,3edad42a-6052-83cb-8283-4fdc6d1a8737,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/3edad42a-6052-83cb-8283-4fdc6d1a8737,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/98783c7896edd0e8afabea903ba2827e58e31af3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612767,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0090,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3edad42a-6052-83cb-8283-4fdc6d1a8737/manifest,,,,,5
富山商業月報 第78号 大正5年10月15日,第78号,1916,大正5年10月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/60ff2d16-4642-9d92-8c6a-46df3bba5553.json,60ff2d16-4642-9d92-8c6a-46df3bba5553,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/60ff2d16-4642-9d92-8c6a-46df3bba5553,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0b6d830fc95821ac0c9f0f3a49c9dd2b05f90a47.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612766,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0091,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/60ff2d16-4642-9d92-8c6a-46df3bba5553/manifest,,,,,5
富山商業月報 第79号 大正5年11月15日,第79号,1916,大正5年11月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/545cc6b9-a66d-4cc8-0ca4-a54556636928.json,545cc6b9-a66d-4cc8-0ca4-a54556636928,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/545cc6b9-a66d-4cc8-0ca4-a54556636928,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8bf8a0f78855a9ed71054f7d56774d831117cca6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612765,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0092,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/545cc6b9-a66d-4cc8-0ca4-a54556636928/manifest,,,,,5
富山商業月報 第80号 大正5年12月15日,第80号,1916,大正5年12月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e5ee9250-13eb-768c-154d-ca0a92ac4b91.json,e5ee9250-13eb-768c-154d-ca0a92ac4b91,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/e5ee9250-13eb-768c-154d-ca0a92ac4b91,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/57f2f72ac98174d1bd7982fd0041fe62195486ea.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612764,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0093,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e5ee9250-13eb-768c-154d-ca0a92ac4b91/manifest,,,,,5
富山商業月報 第81号 大正6年1月15日,第81号,1917,大正6年1月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/28172e15-0b41-664f-31b5-3c7bab7594da.json,28172e15-0b41-664f-31b5-3c7bab7594da,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/28172e15-0b41-664f-31b5-3c7bab7594da,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/64556329343dc10e2e1708e069c03480a607d97a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612763,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0094,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/28172e15-0b41-664f-31b5-3c7bab7594da/manifest,,,,,5
富山商業月報 第82号 大正6年2月15日,第82号,1917,大正6年2月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bea4dacf-7aeb-7602-771a-39f2e3fe15bb.json,bea4dacf-7aeb-7602-771a-39f2e3fe15bb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/bea4dacf-7aeb-7602-771a-39f2e3fe15bb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9501d97c2f4f61b546d72c77aec7e8894c81f364.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612762,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0095,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bea4dacf-7aeb-7602-771a-39f2e3fe15bb/manifest,,,,,2
富山商業月報 第83号 大正6年3月15日,第83号,1917,大正6年3月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/420d30ad-970c-2f4b-76e5-d0539d180c2e.json,420d30ad-970c-2f4b-76e5-d0539d180c2e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/420d30ad-970c-2f4b-76e5-d0539d180c2e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1939314702e24b24b9e6d35d081c79b332e1a215.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612761,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0096,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/420d30ad-970c-2f4b-76e5-d0539d180c2e/manifest,,,,,5
富山商業月報 第84号 大正6年4月15日,第84号,1917,大正6年4月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/195f5a14-48d7-3627-39fe-a53d5680a106.json,195f5a14-48d7-3627-39fe-a53d5680a106,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/195f5a14-48d7-3627-39fe-a53d5680a106,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/857688c434dea3e4270a2989fba28355f71dc1c1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612760,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0097,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/195f5a14-48d7-3627-39fe-a53d5680a106/manifest,,,,,5
富山商業月報 第85号 大正6年5月15日,第85号,1917,大正6年5月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ff8b4db6-7ac7-3ad9-1900-c7b487ac0521.json,ff8b4db6-7ac7-3ad9-1900-c7b487ac0521,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/ff8b4db6-7ac7-3ad9-1900-c7b487ac0521,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/457f346694ea62762eaa6d8c5475b4d3dc91347b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612759,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0098,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ff8b4db6-7ac7-3ad9-1900-c7b487ac0521/manifest,,,,,5
富山商業月報 第86号 大正6年6月15日,第86号,1917,大正6年6月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/441c13e5-1951-95e0-8eae-a1447cd82595.json,441c13e5-1951-95e0-8eae-a1447cd82595,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/441c13e5-1951-95e0-8eae-a1447cd82595,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e3d768488cb4e4a26a7577425ae90b35c4ac20e9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612758,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0099,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/441c13e5-1951-95e0-8eae-a1447cd82595/manifest,,,,,5
富山商業月報 第87号 大正6年7月15日,第87号,1917,大正6年7月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0cf6c0b6-8325-007e-a315-9846c46d2420.json,0cf6c0b6-8325-007e-a315-9846c46d2420,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/0cf6c0b6-8325-007e-a315-9846c46d2420,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a9ca4c5c7fb18111d0ed9438d036f866476a7c4b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612757,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0100,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0cf6c0b6-8325-007e-a315-9846c46d2420/manifest,,,,,5
富山商業月報 第88号 大正6年8月15日,第88号,1917,大正6年8月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/53f830cb-0587-1e17-4e71-51b2e0c58e08.json,53f830cb-0587-1e17-4e71-51b2e0c58e08,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/53f830cb-0587-1e17-4e71-51b2e0c58e08,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4af9d92dd12e65869750d2b759763a76f9549f95.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612756,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0101,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/53f830cb-0587-1e17-4e71-51b2e0c58e08/manifest,,,,,5
富山商業月報 第89号 大正6年9月15日,第89号,1917,大正6年9月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a3ecf5e1-978e-02dd-9b92-9a5e95236b59.json,a3ecf5e1-978e-02dd-9b92-9a5e95236b59,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/a3ecf5e1-978e-02dd-9b92-9a5e95236b59,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4fd135bdb4704059b49181de01f8a5501c8671f6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612755,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0102,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a3ecf5e1-978e-02dd-9b92-9a5e95236b59/manifest,,,,,5
富山商業月報 第90号 大正6年10月15日,第90号,1917,大正6年10月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/71286c2b-9aeb-92c9-02da-b97e611a83d7.json,71286c2b-9aeb-92c9-02da-b97e611a83d7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/71286c2b-9aeb-92c9-02da-b97e611a83d7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1d33cddee989cd52441e8780027da1e9b92eaa03.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612754,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0103,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/71286c2b-9aeb-92c9-02da-b97e611a83d7/manifest,,,,,5
富山商業月報 第91号 大正6年11月15日,第91号,1917,大正6年11月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f2f6f093-685a-3551-89f9-a8d4ecff32c6.json,f2f6f093-685a-3551-89f9-a8d4ecff32c6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/f2f6f093-685a-3551-89f9-a8d4ecff32c6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/12acfe8d0e4c06b4ee1f4992b68df0485adba04b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612753,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0104,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f2f6f093-685a-3551-89f9-a8d4ecff32c6/manifest,,,,,5
富山商業月報 第92号 大正6年12月15日,第92号,1917,大正6年12月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/eb6feb72-5bac-296e-5d2a-a9c37161162a.json,eb6feb72-5bac-296e-5d2a-a9c37161162a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/eb6feb72-5bac-296e-5d2a-a9c37161162a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/251d02e8f80679054fc8c94a6c5c36c0255e070f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612752,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0105,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/eb6feb72-5bac-296e-5d2a-a9c37161162a/manifest,,,,,6
富山商業月報 第93号 大正7年1月15日,第93号,1918,大正7年1月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/537d5b9a-8d5b-2cfe-23d4-0fb1f0fe32a8.json,537d5b9a-8d5b-2cfe-23d4-0fb1f0fe32a8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/537d5b9a-8d5b-2cfe-23d4-0fb1f0fe32a8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cd68cb013fd1eaddd4a45ac3c33a68f4ab833757.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612751,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0106,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/537d5b9a-8d5b-2cfe-23d4-0fb1f0fe32a8/manifest,,,,,6
富山商業月報 第94号 大正7年2月15日,第94号,1918,大正7年2月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/44d0f439-1dad-38e1-395b-07b8e8503be6.json,44d0f439-1dad-38e1-395b-07b8e8503be6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/44d0f439-1dad-38e1-395b-07b8e8503be6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0675594e23c5cf0e176852345fe82d4a53384016.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612750,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0107,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/44d0f439-1dad-38e1-395b-07b8e8503be6/manifest,,,,,5
富山商業月報 第96号 大正7年4月15日,第96号,1918,大正7年4月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/19a93420-a6e6-868b-5786-3e53bab02ca1.json,19a93420-a6e6-868b-5786-3e53bab02ca1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/19a93420-a6e6-868b-5786-3e53bab02ca1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/269687612d648037eb0b5018267cffff221b9394.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612749,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0108,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/19a93420-a6e6-868b-5786-3e53bab02ca1/manifest,,,,,2
富山商業月報 第97号 大正7年5月15日,第97号,1918,大正7年5月15日,富山商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e28307d1-846b-18de-8d55-7c8bb3b760cd.json,e28307d1-846b-18de-8d55-7c8bb3b760cd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/e28307d1-846b-18de-8d55-7c8bb3b760cd,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c84cd97ad1ed40db577b10bc390bbc603ddb99b5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612748,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0109,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e28307d1-846b-18de-8d55-7c8bb3b760cd/manifest,,,,,5
