表題,種別,コレクション名,請求記号,タイトルヨミ,日付,号,面,備考,出版社,出版地,封筒,画像注記,差出,宛,編著者,年月日,サイズ,シリーズ名,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
改進新聞 明治26(1893)年6月11日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1893-06-11,3105,5-6,1-4面欠,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/12ef2d5a-5f1e-02ab-1ab6-ab00c8036b31.json,12ef2d5a-5f1e-02ab-1ab6-ab00c8036b31,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/12ef2d5a-5f1e-02ab-1ab6-ab00c8036b31,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/16f27f819a05420c5e9739ff64b3ccf28cccfe7f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417461,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/12ef2d5a-5f1e-02ab-1ab6-ab00c8036b31/manifest,,,,,2
[参集要請状],静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:19:6,,,,,,,,磐前県,,岩手縣知事服部一三,地方衛生會委員常置委員松岡毅夫,,明治28年7月11日,1枚 29×20cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/efa1da87-18a4-8d5e-2af2-3dfb5902231a.json,efa1da87-18a4-8d5e-2af2-3dfb5902231a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/efa1da87-18a4-8d5e-2af2-3dfb5902231a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/034b0b8e44b588f4732df8e7b9ff0c71e4712997.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422685,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/efa1da87-18a4-8d5e-2af2-3dfb5902231a/manifest,,,,,1
改進新聞 明治21(1888)年11月16日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1888-11-16,1710,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/68ff5b67-34b7-7d64-3583-8c97c3016559.json,68ff5b67-34b7-7d64-3583-8c97c3016559,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/68ff5b67-34b7-7d64-3583-8c97c3016559,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/67c2fd0e65a1b66742408cf54b43a8eb54ae9bbe.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417031,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/68ff5b67-34b7-7d64-3583-8c97c3016559/manifest,,,,,4
改進新聞 明治19(1886)年2月14日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1886-02-14,873,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7b563af3-4a1a-877b-1251-7b6a8056285a.json,7b563af3-4a1a-877b-1251-7b6a8056285a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/7b563af3-4a1a-877b-1251-7b6a8056285a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b0f5ada314f54bcbc27721603022049841ad9c8b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416270,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7b563af3-4a1a-877b-1251-7b6a8056285a/manifest,,,,,4
静岡県官員録 明治七年,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:65:8,,,,,,,,静岡県 韮山県別袋,,,,,明治7年,1点 9×16cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c1de06e0-7bdc-9968-9438-8a517cfe6237.json,c1de06e0-7bdc-9968-9438-8a517cfe6237,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/c1de06e0-7bdc-9968-9438-8a517cfe6237,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a5f36e019f953e8b2f3fca5e0e96c8af3d6197b9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/423094,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1de06e0-7bdc-9968-9438-8a517cfe6237/manifest,,,,,3
改進新聞 明治20(1887)年5月10日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1887-05-10,1248,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a515c41a-84d5-59d7-a3ce-7a96bb3d0545.json,a515c41a-84d5-59d7-a3ce-7a96bb3d0545,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a515c41a-84d5-59d7-a3ce-7a96bb3d0545,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7a0396c264247720501c3aec3f362d863e3c993e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416620,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a515c41a-84d5-59d7-a3ce-7a96bb3d0545/manifest,,,,,4
改進新聞 明治19(1886)年5月2日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1886-05-02,938,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2005500b-22cd-0383-4f87-49b9d4267f3a.json,2005500b-22cd-0383-4f87-49b9d4267f3a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/2005500b-22cd-0383-4f87-49b9d4267f3a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f92eba034df409e06cb2cf2f1f5e35590da03ed3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416335,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2005500b-22cd-0383-4f87-49b9d4267f3a/manifest,,,,,4
改進新聞 明治20(1887)年10月29日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1887-10-29,1394,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c0545c33-4047-5dcb-4c0d-0a07d53a4e66.json,c0545c33-4047-5dcb-4c0d-0a07d53a4e66,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/c0545c33-4047-5dcb-4c0d-0a07d53a4e66,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ff3cda8715d5300693e1fd764d86f757eb676a47.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416765,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c0545c33-4047-5dcb-4c0d-0a07d53a4e66/manifest,,,,,4
学校取調之儀ニ付伺,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:3:51,,,,,,,,青森県(一),,学校,弘前支庁,,壬申12月,1点 26×34cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f8d79e32-6894-35a1-9d34-4b54cd7d08fb.json,f8d79e32-6894-35a1-9d34-4b54cd7d08fb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/f8d79e32-6894-35a1-9d34-4b54cd7d08fb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9a3e9c9a4802564e8aee7227ae8a73fdccad2deb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422390,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f8d79e32-6894-35a1-9d34-4b54cd7d08fb/manifest,,,,,1
改進新聞 明治23(1890)年1月23日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1890-01-23,2070,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3fef037f-4eb2-7fd3-0709-d56b37fa9018.json,3fef037f-4eb2-7fd3-0709-d56b37fa9018,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/3fef037f-4eb2-7fd3-0709-d56b37fa9018,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5b4df52ab327fcaaf1a7051feacbc5d447a0f86c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417174,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3fef037f-4eb2-7fd3-0709-d56b37fa9018/manifest,,,,,4
三度あった宇都宮縣,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:28:5,,,,,,,,宇都宮県,栃木県(二) 日光県・宇都宮県 一括,,,宮武外骨,昭和11年9月,1点(8p) 23×16cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4fd7a0d5-59a4-2057-3c55-35635dcd7ba6.json,4fd7a0d5-59a4-2057-3c55-35635dcd7ba6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/4fd7a0d5-59a4-2057-3c55-35635dcd7ba6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/63be277ba6fe84c7a577f14fad75588da410f45d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422810,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4fd7a0d5-59a4-2057-3c55-35635dcd7ba6/manifest,,,,,5
[出頭命令書],静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:11:11,,,,,,,,陸中廃県 胆沢県 水沢県 磐井県 九戸県 八戸県 三戸県,,,,,7月18日,1枚 16×29cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/81fd7729-30b7-9c2c-3308-5ac80e0b428f.json,81fd7729-30b7-9c2c-3308-5ac80e0b428f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/81fd7729-30b7-9c2c-3308-5ac80e0b428f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2fd6edad359311677b1108685ccefabf541b853e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422543,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81fd7729-30b7-9c2c-3308-5ac80e0b428f/manifest,,,,,3
改進新聞 明治24(1891)年6月23日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1891-06-23,2513,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/316ecbfe-68aa-0649-52b0-13093dc5636a.json,316ecbfe-68aa-0649-52b0-13093dc5636a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/316ecbfe-68aa-0649-52b0-13093dc5636a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ec863ff7ce0f2ce2f635ecec354eef8e01e88f89.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417318,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/316ecbfe-68aa-0649-52b0-13093dc5636a/manifest,,,,,4
[各大区区長 昨今両年徴兵連名簿記入云々],静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:4:14,,,,,,,,青森県(二),,青森県庶務課,[各大区区長],,明治8年4月8日,1点(12丁) 26×18cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/41dfdaea-0d74-1b0f-0976-b0588c1751a2.json,41dfdaea-0d74-1b0f-0976-b0588c1751a2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/41dfdaea-0d74-1b0f-0976-b0588c1751a2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fe9cd70865a4713b58b2c2dcc62005ab379ed895.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422406,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/41dfdaea-0d74-1b0f-0976-b0588c1751a2/manifest,,,,,13
メモ(「人情風俗...」),静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:40:6,,,,,,,,葛飾県,千葉県(三) 一括,,,,,1枚 20×26cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4df2faeb-422a-347f-2a45-22d6f611a2d8.json,4df2faeb-422a-347f-2a45-22d6f611a2d8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/4df2faeb-422a-347f-2a45-22d6f611a2d8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1de39de21afc422eaef6f93b57c41ebf934be6dc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422955,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4df2faeb-422a-347f-2a45-22d6f611a2d8/manifest,,,,,1
改進新聞 明治19(1886)年12月24日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1886-12-24,1137,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b364089b-4a7f-4569-8b93-668a4c020ce0.json,b364089b-4a7f-4569-8b93-668a4c020ce0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/b364089b-4a7f-4569-8b93-668a4c020ce0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/497924d4b64471f37ab69914a960503caa558bc3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416509,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b364089b-4a7f-4569-8b93-668a4c020ce0/manifest,,,,,4
改進新聞 明治18(1885)年9月26日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1885-09-26,762,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a8692308-00c7-3265-8c4e-ccba8ba2753d.json,a8692308-00c7-3265-8c4e-ccba8ba2753d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a8692308-00c7-3265-8c4e-ccba8ba2753d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f2ecd7591c72269bbed38224961ff4abd1619d46.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416159,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a8692308-00c7-3265-8c4e-ccba8ba2753d/manifest,,,,,4
池上書店古書新蒐目録 第3号,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:88:8,,,,,,,,高知県,,,,池上書店発行,昭和11年11月,1冊(8p) 23×16cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/578c9091-32ef-12b9-5b8c-b761c25754cb.json,578c9091-32ef-12b9-5b8c-b761c25754cb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/578c9091-32ef-12b9-5b8c-b761c25754cb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/608da3f32e019522f9fd2bea810854c45521014c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/423217,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/578c9091-32ef-12b9-5b8c-b761c25754cb/manifest,,,,,6
改進新聞 明治20(1887)年5月28日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1887-05-28,1264,1-4,附録2面あり,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fb97c44c-000c-36fd-03ee-77443cf5823c.json,fb97c44c-000c-36fd-03ee-77443cf5823c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/fb97c44c-000c-36fd-03ee-77443cf5823c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5cded16311a8b4b632af256e1056fdfcad7ea7e3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416636,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fb97c44c-000c-36fd-03ee-77443cf5823c/manifest,,,,,6
改進新聞 明治17(1884)年11月27日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1884-11-27,522,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d0602897-2773-7068-29e4-f7cfdbc059a3.json,d0602897-2773-7068-29e4-f7cfdbc059a3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d0602897-2773-7068-29e4-f7cfdbc059a3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3761df2bdeabec87cae0d310874344104f856cd9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/415919,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d0602897-2773-7068-29e4-f7cfdbc059a3/manifest,,,,,4
