タイトル/Title,ポスター番号/No. of Poster,タイトル（日本語訳）/TItle (Japanese),作成者/Creator,作成主体/Publisher,制作年/Date Issued,縦×横（mm）/Extent,主題/Subject,内容記述・解説/Description,備考（ポスターにある記号等）/Note,提供部局名/Holding Department,種別/Material Type,言語/Language,連番,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
Let's fly this flag. Everybody at least 10 percent in war bonds,30,この旗を掲げよう 全員が少なくとも1割を戦時国債の為に負担しよう,,,1942,710×560,War bonds,Let's fly this flag / Everybody at least 10 percent in war bonds|従業員が自分の給料の少なくとも10%を戦時公債に充当させることに同意した会社や工場では、このような旗が掲げられることになった。旗に描かれているのは独立革命時に活躍した市民兵「ミニッツ・メン」である。独立時の13州を象徴する13個の星に囲まれたこの表象は、戦時公債への協力を求める “Buy war bonds”の標語とともにしばしば登場する愛国的イメージである。,U.S. Government Printing Office: 1942-O-476088    WSS 551,アメリカ太平洋地域研究センター,静止画資料,英語,0028,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/74e0341e-8378-7435-26eb-4f7da3e438a8.json,74e0341e-8378-7435-26eb-4f7da3e438a8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/74e0341e-8378-7435-26eb-4f7da3e438a8,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/984cca2d5e71ea924de4b6987d05a02772edb89f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654497,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/74e0341e-8378-7435-26eb-4f7da3e438a8/manifest,,,,,1
This world cannot exist half slave and half free. Buy war bonds,31,半分奴隷で半分自由なんて世界、ありえない。戦時国債を買おう,,,1943,710×560,War bonds,This world cannot exist half slave and half free / Buy war bonds|リンカン大統領の1858年の有名な演説を持ち出し、自由世界の勝利のために戦時国債を買うように呼びかけている。演説当時のあごひげのないリンカンの顔のパステル画にはB. Rigのサインがある。,U.S. Government Printing Office: 1943-O-503946  WSS 723.,アメリカ太平洋地域研究センター,静止画資料,英語,0029,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/729e47c7-3782-23e6-4b19-6860a7a73b65.json,729e47c7-3782-23e6-4b19-6860a7a73b65,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/729e47c7-3782-23e6-4b19-6860a7a73b65,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0cfb6e18429e51a85a937a108855bca0668483ad.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654496,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/729e47c7-3782-23e6-4b19-6860a7a73b65/manifest,,,,,1
To have and to hold—Buy war bonds,32,"愛し慈しみ,所有する。戦時国際を買おう",,Department of Treasury (財務省),1944,710×508,War bonds,To have and to hold / Buy war bonds|「大切なこの子を守ってあげたいなら、戦時公債を買いましょう」という広告。,U.S. Government Printing Office: 1944-O-579818,アメリカ太平洋地域研究センター,静止画資料,英語,0030,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e7178c54-25d4-64dd-95a3-1de5efb03fa3.json,e7178c54-25d4-64dd-95a3-1de5efb03fa3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/e7178c54-25d4-64dd-95a3-1de5efb03fa3,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3406b6cfc852018bc70f81f9f49c585388149fdf.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654495,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e7178c54-25d4-64dd-95a3-1de5efb03fa3/manifest,,,,,1
Buy a share in America. Defense savings bonds and stamps,33,アメリカ防衛の貯蓄債券と証紙に投資しよう,,,1941,1015×721,War bonds,Buy a share in America / Defense savings bonds and stamps|鋼鉄製?の頑丈そうな合州国型の貯金箱にコインを投入しようとしている手の絵。H. Billingsのサインあり。,U.S. Government Printing Office: 1941: J-414728,アメリカ太平洋地域研究センター,静止画資料,英語,0031,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d5fab1a1-6628-6afe-910b-ba0eba1813f3.json,d5fab1a1-6628-6afe-910b-ba0eba1813f3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/d5fab1a1-6628-6afe-910b-ba0eba1813f3,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2ef0fe1637c8ffe91a2f70414d3d9564c452601a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654494,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d5fab1a1-6628-6afe-910b-ba0eba1813f3/manifest,,,,,1
I'm out to lick runaway prices. Let's all follow the 7-key plan to hold prices down,34,高くなっている値段を抑えるのに協力するわ 皆さん、価格を抑えておくための7案を実行しましょう,,"Office for War Information (OWI, 戦時情報局)",1944,717×514,Homefront,I'm out to lick runaway prices / Let's all follow the 7-key plan to hold prices down / 1. Buy and hold war bonds / 2. Pay willingly our share of taxes / 3. Provide adequate life insurance and savings for our future / 4. Reduce our debts as much as possible / 5. Buy only what we need and make what we have last longer / 6. Follow ration rules and price ceilings / 7. Cooperate with our government’s wage stabilization program|価格管理局の後身として設けられた経済安定局は、戦時中のインフレ昂進を抑制することがその重要な役割であった。エプロンを付けたエリザベス・テイラー風の女性が拳をにぎっている絵。,,アメリカ太平洋地域研究センター,静止画資料,英語,0032,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d9887641-a180-9095-2e6d-134255df1d19.json,d9887641-a180-9095-2e6d-134255df1d19,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/d9887641-a180-9095-2e6d-134255df1d19,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2fe7a86c9d1ebeb52c776004768c27e2e687efca.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654493,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d9887641-a180-9095-2e6d-134255df1d19/manifest,,,,,1
Win with tin,35,ブリキで勝とう,,"War Production Board (WPB, 戦時生産局)",1942,723×509,Homefront,Clean can well and soak off label / Cut off both ends and flatten / Tuck cut-off ends in can / Save in separate containers and give to an authorized collector / Win with Tin|1缶をよく洗ってラベルをはがし、2両底を切り取って平たくし、3切り取った底を間に挟み、4コンテナに集めて正規の収集人に渡しましょう。という4コマ漫画風の絵。戦時中の金属不足から、空き缶の回収を呼びかけたもの。,U.S. Government Printing Office: 1942-O-469307.,アメリカ太平洋地域研究センター,静止画資料,英語,0033,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fa1ea1f0-046d-64e2-48e0-496c97ac6ead.json,fa1ea1f0-046d-64e2-48e0-496c97ac6ead,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/fa1ea1f0-046d-64e2-48e0-496c97ac6ead,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9dba720f44b77bd83c3c829f486df8f8e74c1614.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654492,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fa1ea1f0-046d-64e2-48e0-496c97ac6ead/manifest,,,,,1
"""Every man woman and child is a partner"" President Roosevelt",36,「男性も、女性も、子供も一人残らず仲間です」フランクリン・ローズベルト,,"War Production Board (WPB, 戦時生産局)",1942,709×1017,Homefront,"""Every man woman and child is a partner"" President Roosevelt / In 1942 60,000 planes, 45,000 tanks, 20,000 A. A. guns, 8,000,000 tons of ships|1942年1月に創設された戦時生産局のポスター。ローズヴェルト大統領のことばを受けて、初年度の成果を知らせている。",U.S. Government Printing Office: 1942-453836,アメリカ太平洋地域研究センター,静止画資料,英語,0034,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8432e09a-7e9e-68d8-a237-fa493e5842c3.json,8432e09a-7e9e-68d8-a237-fa493e5842c3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/8432e09a-7e9e-68d8-a237-fa493e5842c3,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/13e9df89f9d85681373ccb1b23595cc4e85674d0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654491,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8432e09a-7e9e-68d8-a237-fa493e5842c3/manifest,,,,,1
You make it right . . . They'll make it fight,37,あなたの立派な働きが、戦争の役に立つ,"Perlin, Bernard","War Production Board (WPB, 戦時生産局)",1942,1013×721,"Homefront, Labor",You make it right . . . They'll make it fight|1942年1月に創設された戦時生産局(War Production Board)によるポスター。 武器生産労働者に対し、精勤と慎重な仕事ぶりを要請している。砲身を中心に左はこれを製造している労働者、右はそれを利用している兵士を描いている。 戦いの場と生産の場との一体感を喚起する構図である。 Bernard Perlinのサインあり。,A-20. U.S.  Government Printing Office: 1942-O-485347,アメリカ太平洋地域研究センター,静止画資料,英語,0035,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2a05ec3d-1897-469e-26e0-29f7a9879d24.json,2a05ec3d-1897-469e-26e0-29f7a9879d24,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/2a05ec3d-1897-469e-26e0-29f7a9879d24,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/064feda4c2ac4d8dd9349bc3809bf504d6e79042.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654490,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2a05ec3d-1897-469e-26e0-29f7a9879d24/manifest,,,,,1
American labor . . . Producing for attack,38,戦いの為、生産に従事するアメリカの労働者,,"War Production Board (WPB, 戦時生産局)",1943,1002×709,"Homefront, Labor",American labor . . . Producing for attack,"U.S. Government Printing Office 1943-o-541688  WPB Poster No. A-40. For Extra copies, address: War Production Drive Headquarters, War Production Board, Washington, D.C.",アメリカ太平洋地域研究センター,静止画資料,英語,0036,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/22ae1f68-8946-4063-4f73-4aa55e12895a.json,22ae1f68-8946-4063-4f73-4aa55e12895a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/22ae1f68-8946-4063-4f73-4aa55e12895a,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b5120915639727f5fe9386b9e59136ebe24e757a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654489,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/22ae1f68-8946-4063-4f73-4aa55e12895a/manifest,,,,,1
Keep America rolling!,39,アメリカを前進させ続けよう,,"War Production Board (WPB, 戦時生産局)",1942,1015×722,Homefront,Keep America rolling! / Save your 5 best tires. Sell others to Uncle Sam|第二次大戦中、アメリカが不足に悩んだ軍需物資のひとつはゴムであった。原産地の東南アジアが日本の支配下に入ったためである。これはスペア用を含めて5本のタイヤを残して余分なものは「アンクル・サム」、すなわち合州国に売るよう呼びかけている。,U.S. Government Printing Office: 1942-466627,アメリカ太平洋地域研究センター,静止画資料,英語,0037,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c7ede317-97fa-78c1-8e4d-f3e95d1c3c69.json,c7ede317-97fa-78c1-8e4d-f3e95d1c3c69,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/c7ede317-97fa-78c1-8e4d-f3e95d1c3c69,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ad21d6b5ee2ff740eb0b81819bfa2a4217ace46c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654488,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c7ede317-97fa-78c1-8e4d-f3e95d1c3c69/manifest,,,,,1
Drive slower in hot weather,40,暑い日はゆっくり運転しましょう,,Office of Defense Transportation (国防輸送局),1942,1016×723,Homefront,Drive slower in hot weather / . . . tires wear out four times as fast at 100° as at 40°|猛暑の中ではタイヤの消耗を防ぐためにゆっくり運転するよう呼びかけたもの。,U.S. Government Printing Office: 1942-O-469857,アメリカ太平洋地域研究センター,静止画資料,英語,0038,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b882ac5a-457a-0ce9-5680-ac5484148b53.json,b882ac5a-457a-0ce9-5680-ac5484148b53,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/b882ac5a-457a-0ce9-5680-ac5484148b53,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/72ec579830c6cb37c03bc13e40cce92331e630ec.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654487,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b882ac5a-457a-0ce9-5680-ac5484148b53/manifest,,,,,1
Americans all,41,だれもがアメリカ人,,War Manpower Commission (戦時人的資源委員会),1942,1015×722,Homefront,"Nienciewiscz, Du Bois, Cohen, Lazarri, Hrdlicka, Santini, Schmidt, Williams, Kelly, Americans all / “. . . It is the duty of employers and labor organizers to provide for the full participation of all workers without discrimination because of race, creed, color, or national origin.” Franklin D. Roosevelt|1942年4月に創設された戦時人的資源委員会のポスター。ローズヴェルト大統領のことばを引用して、民族的起源を異にするアメリカ合州国民が一致協力して働く必要を説いた。 タンクを取り囲んで作業する人々についている名前はそのエスニシティを象徴している。 当時敵国であったドイツ系、イタリア系の名前も見られる一方で、日系を含むアジア系の名前が含まれていないところに当時のアメリカの人種観の一端を伺い知ることができる。",U.S. Government Printing Office: 1942-O-476311,アメリカ太平洋地域研究センター,静止画資料,英語,0039,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/58eb7d97-6296-0514-696b-d9e47aa51265.json,58eb7d97-6296-0514-696b-d9e47aa51265,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/58eb7d97-6296-0514-696b-d9e47aa51265,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/05f3d954e662c945c01d649083fcea52520f17b9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654486,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/58eb7d97-6296-0514-696b-d9e47aa51265/manifest,,,,,1
Oil and steel . . . Partners in defense,42,石油と鉄鋼...防衛のパートナー,,Republic Steel,,710×514,Business,"Oil and steel . . . partners in defense / Swarming up from airfields all over the country, America’s growing air force trains to defend our freedom. Without oil, not a plane could fly / Knifing zig-zag courses through our coastal waters, fast, powerful ships patrol the vital transport lanes at sea. Without oil, they’d be helpless / Without oil, trucks, tanks, scout cars, motorcycles could not move, factories would stand silent, transportation would be paralyzed. Stop the flow of oil, and you cripple defense! / To get oil, you need steel. And America looks to Republic for steel to keep oil flowing. Steel for drilling wells. Steel casing and tubing to bring oil up from the depths of the earth. Steel line pipe to carry oil over mountains and under rivers. Steel for oil drums and tanks, and for equipment to refine oil, transport it and market it. / Part of Republic’s defense job, too, is supplying a wide variety of steels for ships, planes, tanks, trucks, as well as for the growing demands of transportation, agriculture, construction, food and countless other industries vital to this country’s efficiency and well-being. / In a gigantic “all-out” effort, Republic’s 62,000 men are breaking records in the production of good steels—the first line of national defense. / This is a reproduction of an advertisement in the July 19th issue of The Saturday Evening Post|リパブリック・スティール・シリーズ",Gift of Central Outdoor Advertising Co.,アメリカ太平洋地域研究センター,静止画資料,英語,0040,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/187b1214-7cb5-694d-6d15-10a283db4390.json,187b1214-7cb5-694d-6d15-10a283db4390,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/187b1214-7cb5-694d-6d15-10a283db4390,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b462d49cc39c082cf35229b8d3b0972af8759e01.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654485,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/187b1214-7cb5-694d-6d15-10a283db4390/manifest,,,,,1
Pete's parents were amazed,43,ピートの両親はびっくり,,Republic Steel,,710×495,Business,"Pete’s parents were amazed / Pete came to America when he was eighteen. / He got a job. Went to night school. Became an American citizen. Was married. Now he’s a foreman—with Republic Steel. / Just before the war enveloped Europe, Pete sent back home for his parents. / When they saw this country, they were amazed. They were amazed at our buildings, our churches, our hospitals, our public schools, our parks. They were amazed at the thousands of cars on the streets—and in factory parking lots. / They were amazed to find that Pete owned a modern home, with good plumbing and hot and cold running water—that he had a radio, a telephone, electric lights, an automobile—that he went to the movies, the ball games—that he said what he pleased, read what he pleased and worshipped as he pleased. They still can’t quite understand all that they’ve seen and heard—everything’s so new, so different. Pete explains that these things are just a regular part of life, over here—but that now, they’re in danger—and that Pete and millions of other serious-minded Americans, in industry, on farms and in training camps are working to protect them. / Like Pete, his parents are proud of the fact that Republic is furnishing thousands of tons of steel for tanks, army trucks, scout cars, guns, ships and airplanes. / They have an added sense of security in the knowledge that Republic has built a great new plant exclusively to produce armor plate—that it is adding new blast furnaces, stepping up steel plate production and increasing electric furnace capacity fivefold—doing everything within its power to enable 71,000 Republic men to make steel and still more steel—the first line of defense for the American Way of Life. / This is a reproduction of an advertisement in the November 15th issue of The Saturday Evening Post",Gift of Central Outdoor Advertising Co.,アメリカ太平洋地域研究センター,静止画資料,英語,0041,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4d1d9651-0ef5-5c79-51ce-2c021b6b9a14.json,4d1d9651-0ef5-5c79-51ce-2c021b6b9a14,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/4d1d9651-0ef5-5c79-51ce-2c021b6b9a14,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8b4c108ac01b8847e9eecdffd55494b08343aa73.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654484,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4d1d9651-0ef5-5c79-51ce-2c021b6b9a14/manifest,,,,,1
Old Joe said to young Joe . . .,44,老いたジョーは若きジョーに言った,,Republic Steel,,710×560,Business,"Old Joe said to young Joe . . . / “. . . when you get over there in the thick of it, son, you won’t have time to think about the fancy ideals you’re supposed to be fighting for. You’ll be interested mostly in shooting straight, and shooting first. / “But some night when you’re lying out under the stars, you’ll probably figure the whole thing out—and it will be very simple. / “You’ll realize that you’re fighting to protect the kind of decency and freedom you were raised in—and will want to raise your kinds in, too. / “You’ll be fighting to protect the opportunity that all Americans have of starting at the bottom and getting to the top—and that’s typically American. / “You’re fighting to protect your right to live your own life in your own way without being pushed around by some bright young bureaucrat who wants to do all your planning for you. / “That’s about all there is to it, son. But it’s mighty worth while—this business of keeping our freedom—of sticking to the things that have made America great. / “I’ve often thought that our own family was a pretty good example of what can happen in this country—and nowhere else. I started doing odd jobs in this very hardware store, when I was ten years old. Made up my mind I’d own it some day. Nothing in the world to stop me—if I really wanted it. / “We didn’t have cars and trucks and airplanes in those days. No radios. No telephones, movies, or electric lights. / “I didn’t have much education—didn’t have the time or money to get it. But I made up my mind that my own children would have some of the things I didn’t have. / “You’ve had a good education. You went to college. You’ve traveled around the country in your car. You’ve seen how the other fellow lives. You keep up to date through your radio and your reading. / “And, son, it’s hard to believe that most of the inventions, advantages and improvements that have made you more efficient and more comfortable, have happened in my lifetime. / “But that’s the very thing I’m talking about. That’s the power of America. We’ve got push in this country—and ingenuity—the determination to keep on getting stronger and better all the time. / “And all of us have got to see that nothing stops that kind of progress—neither enemies from the outside, not from the inside. / “You’re a chip off the old block, son. You think about the way I do. You work hard—very hard. But you’ve had more advantages than I had. And you’re a better man in every way. You’ll go farther. / “Just remember this, my boy—you’re a free agent. Your future is under your hat. You have seen what our American way of doing things has meant to you and me and millions of others, in opportunity, progress and happiness. That’s what you’re really fighting for, son. You put the heat on, over there—and I’ll put it on over here.” / We all have “Young Joes”—brothers, sons, buddies—who are over there putting the heat on, for us. Let’s put the heat on over here, for them . . . by turning out the steel they need to win, and by everything humanly possible to speed up our final Victory. Millions who also want to keep America American will see this story in the February 12 Saturday Evening Post and other leading publications.",Gift of Central Outdoor Advertising Co.,アメリカ太平洋地域研究センター,静止画資料,英語,0042,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2e20e648-23d7-5c08-6c82-a658bd0548d2.json,2e20e648-23d7-5c08-6c82-a658bd0548d2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/2e20e648-23d7-5c08-6c82-a658bd0548d2,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d0ed0fffe46d4b4c0ce0d28b39da062393d0692d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654483,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2e20e648-23d7-5c08-6c82-a658bd0548d2/manifest,,,,,1
