タイトル,書名よみ,書誌情報,請求記号,画像,内容記述,区分,Digitized Publisher,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
辨名(ベンメイ) / 物茂卿著.,ベンメイ,"東都 : 野田七兵衛, 寛政1.11[1789][刊] 2冊 ; 26.3×18.1cm -- 上;下 注記: 左右双辺有界 ; 朱筆書き入れあり ; 印記: 「神浡之賞」, 「掃葉山房藏書」",鴎B60:1101,書入頁の一部(主に頭注と朱筆の書入),"江戸時代の大儒であり、古文辞学派の祖である荻生徂徠の代表的な著述。「道」や「徳」など儒学の基本的な述語約70について論述を行っている。享保頃の成稿。鴎外文庫蔵のものは、寛政元年(1789)の刊本である。上下巻にそれぞれ「弁名 乾」「弁名 坤」と鴎外の自筆題簽が付されており、本文には随所に語注が書入れられている。巻尾に「明治十二年八月四日牽舟居士」と記されており、明治12年(1879)、18歳での閲読と分かる。(合)|参考文献: 中井義幸『鴎外留学始末』岩波書店,1999年",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8841c072-f639-46c9-bd6c-f71457ba53f8.json,8841c072-f639-46c9-bd6c-f71457ba53f8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/8841c072-f639-46c9-bd6c-f71457ba53f8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/21ee1945ed0e9c0629e079092bddc74a9d773e61.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/460,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8841c072-f639-46c9-bd6c-f71457ba53f8/manifest,,,,,40
抽齋吟稿 : 讏語(チュウサイ ギンコウ : エイゴ) / [澁江抽齋著]. [写本],チュウサイ ギンコウ : エイゴ,"([製作地不明] : [澁江保], [1---]) 1冊 ; 24cm 注記: 書名は巻頭による ; 題簽の書名: 抽齋吟稿 ; 讏語 ; 写本 ; 和装. 袋綴じ",鴎E39:31,全頁,"渋江保筆の原稿を鴎外が綴じた本。『渋江抽斎』の資料となった。内容は渋江抽斎の著作の抄写で、「抽斎吟稿」、「讏語」、「附記質叨飮」、「抱朴子序」、「附記」、「迷庵師読書指南序」の6部に分かれる。「吟稿」には和歌・漢詩・狂歌を収め、「讏語」の題辞下には朱筆で「未定稿」とある。また、各所に渋江保の注が朱筆で記されている。『渋江抽斎』その五十五に、これらについての言及がある。(出)|関連作品: 『渋江抽斎』(全集16巻) http://www.aozora.gr.jp/cards/000129/card2058.html|参考文献: 山崎一頴『森鴎外・史伝小説研究』桜楓社,1982年",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/893acf49-fa81-4750-b988-d874db30bc08.json,893acf49-fa81-4750-b988-d874db30bc08,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/893acf49-fa81-4750-b988-d874db30bc08,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fd005f8e352f28cd05a48d1d9d0b91e9e04ac362.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/461,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/893acf49-fa81-4750-b988-d874db30bc08/manifest,,,,,18
朝鮮史稱謂(チョウセンシ ショウイ) . [写本],チョウセンシ ショウイ,"([製作地不明] : [製作者不明], [1---]) 1冊 ; 27cm 内容: 國史ノ扶韓事蹟 / 浅見倫太郎[著] 注記: 書名は題簽による ; 巻頭に「第二部會議案」とあり ; 謄写版 ; 和装. 袋綴じ ; 附: 「國史ノ扶韓事蹟」(写本 柱に「宮内省」とある罫紙使用)",鴎G23:34,全頁,朝鮮人児童に日本語の教科書で朝鮮の歴史をどう教えるかという会議案を印刷したものであり、「厳秘」の印が押してある。巻頭には、鴎外の筆で「教科用図書調査委員会」「朝鮮用」と記され、傍線、字句訂正のほか、朝鮮の王の名前が朱筆で書入れられている。なお、本書は浅見倫太郎による朝鮮の歴史と地理を記した「国史ノ扶韓事蹟」という草稿と合冊されている。浅見倫太郎は朝鮮の法律研究家で大正5(1916)年に日朝共同の古蹟調査に参加した人物。これには「宮内省」「大八」と印字された用箋が使われているが、こちらは鴎外の筆ではない。(神),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8968a5dc-987b-4809-a8a5-c4a0497afbef.json,8968a5dc-987b-4809-a8a5-c4a0497afbef,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/8968a5dc-987b-4809-a8a5-c4a0497afbef,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4db7e0d61b9b42a3333378e3780340336ef4dbc1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/462,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8968a5dc-987b-4809-a8a5-c4a0497afbef/manifest,,,,,27
慶應十家絶句 2巻(ケイオウ ジッカ ゼック) / 内田脩編選.,ケイオウ ジッカ ゼック,"東都 : 嶋屋平七 : 英屋文藏 : 須原屋伊八 : 和泉屋吉兵衞 : 和泉屋金右エ門 : 山城屋佐兵衞, 慶應4.3[1868][刊] 2, 25, 24丁 ; 20cm 注記: 奥付に「斧吉郎輯」とあり ; 左右双辺有界 ; 朱筆書き入れあり ; 印記: 「夢圓」",鴎E45:750,書入頁,慶応度漢詩人のアンソロジー。「十家」とは、大沼枕山、小野晏斎、佐藤牧山、植村藘州、釈金洞、鷲津毅堂、鈴木松塘、長谷川昆渓、関雪江、釈錦河の十人である。鴎外は気に入った詩句に圏点を付し、感想を記している。感想からは森春濤の影響下に育った漢詩趣味のありようが、「読史雑詠」の対象人物や作品初出の注記などからは考証癖が窺える。(多),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8ac0d1a1-3856-439c-8036-0e1ffc47f442.json,8ac0d1a1-3856-439c-8036-0e1ffc47f442,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/8ac0d1a1-3856-439c-8036-0e1ffc47f442,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/feea414bfd29362e2746925833460fe49df6ab2a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/463,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8ac0d1a1-3856-439c-8036-0e1ffc47f442/manifest,,,,,32
小嶋瞻淇日新録人名(コジマ センキ ニッシンロク ジンメイ) . [写本],コジマ センキ ニッシンロク ジンメイ,"([製作地不明] : [森鴎外], [1---]) 1冊 ; 24cm 注記: 書名は題簽による ; 写本 ; 和装. 袋綴じ",鴎H20:462,全頁,"本書は、安政2年(1855)から安政4年(1857)にかけて書かれた小島瞻淇《せんき》の日記、『日新録』からの人名の抜き書きである。全丁、鴎外の自筆。瞻淇は小島宝素の四男であり、『日新録』は『小島宝素』その十一からその十三の執筆に際して、資料として用いられた。本書も作品のこの部分と重なる点が多く、鴎外が執筆に先だって作ったノートと考えられる。依拠資料と作品との間を結ぶ、作品未成の段階を示す資料として興味深い。なお、鴎外が借覧したと考えられる富士川游旧蔵の『日新録』は、現在、慶応義塾大学医学部メディカル・センター内富士川文庫に所蔵されている。(出)|関連作品: 『小島宝素』(全集18巻)|参考文献: 須田喜代次・小泉浩一郎「解題」(『鴎外歴史文学集』第4巻,岩波書店,2001年)",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8ed5dfb8-410b-4f2a-ab9c-9c258bb75a51.json,8ed5dfb8-410b-4f2a-ab9c-9c258bb75a51,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/8ed5dfb8-410b-4f2a-ab9c-9c258bb75a51,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9563f4dd79b03e39e48cd595bb84440df8078a37.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/464,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8ed5dfb8-410b-4f2a-ab9c-9c258bb75a51/manifest,,,,,12
Kritische Geschichte der Aesthetik : Grundlegung für die Aesthetik als Philosophie des Schönen und der Kunst / von Max Schasler.,Kritische Geschichte der Aesthetik : Grundlegung für die Aesthetik als Philosophie des Schönen und der Kunst / von Max Schasler.,"Berlin : Nicolaische Verlagsbuchhandlung, 1872. 2 v. (lix, 1218 p.) ; 23 cm. -- (Aesthetik als Philosophie des Schönen und der Kunst / von Max Schasler ; 1. Th.) 注記: 1. Abt.: Von Plato bis zum 19. Jahrhundert -- 2. Abt.: Von Fichte bis auf die Gegenwart",鴎B800:19,書入頁,"マックス・シャスラー『美学批評史』。 鉛筆でうすく原田直次郎の署名(表紙裏の遊紙、2枚目)が入っており、ユングマン(J.Jungmann)の『美学』(Aesthetik)第1巻『美学の根本原理』(Der ästhetischen Grungbegriffe、鴎B800:13)と共に、元々原田の蔵書であったと推定される。留学時から読んでいたと推定され、初期の美学に関する知見は、『答忍月論幽玄書』に「我審美的思想は、徒にシヤスレル、ハルトマン等が先蹤に依傍して」とあるように、ほぼハルトマン(K.R.E.v.Hartmann)の『審美学』(Aesthetik、鴎A100:1665)とこれに依っている。実際の批評に『外山正一氏の画論を駁す』ではこれらに依拠して批判を展開している。 神田孝夫氏は、有名ではあるが大部である本書は、実際にはほとんど読まれていなかったと述べている。鴎外にしても熟読したのは第一部の「美学的立場の批判」(Kritik der allgemaeinen ästhetischen Standpunkte)だけであるというが、書入れは他の箇所にもある。また、未定稿『審美史綱』は第二部「美学批評史」(Kritische Geschichte der Aesthetik )冒頭約100頁の要約・抄出である。(山)|関連作品: 『審美史綱』(全集21巻)|関連作品: 『外山正一氏の画論を駁す』(全集22巻)|関連作品: 『答忍月論幽玄書』(全集22巻)|参考文献: 小堀桂一郎『森鴎外−文業解題』翻訳編,岩波書店,1982年|参考文献: 小堀桂一郎『若き日の森鴎外』東京大学出版会,1969年|参考文献: 神田孝夫「鴎外初期の文芸評論」(『比較文学研究』4巻1・2号,1957年6月)",洋書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/939f1ae1-c152-4658-9bca-7a92646d4b49.json,939f1ae1-c152-4658-9bca-7a92646d4b49,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/939f1ae1-c152-4658-9bca-7a92646d4b49,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/97326299cdef81a69dd77c7217156f21c6f63997.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/465,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/939f1ae1-c152-4658-9bca-7a92646d4b49/manifest,,,,,254
昔話稻妻表紙 5巻(ムカシガタリ イナズマ ビョウシ) / 山東京傳編 ; 歌川豊國繪.,ムカシガタリ イナズマ ビョウシ,"浪華 : 三木佐助, [出版年不明] 8冊 ; 22cm -- 1 - 8 注記: 題簽の書名: 名古屋山三郎不破伴左衛門繪本稻妻表紙 ; 巻尾及び見返しの書名: 昔話稲妻表紙 ; 版心の書名: 名古屋 ; 江戸平林庄五郎蔵梓の後印 ; 四周単辺無界",鴎E24:249,書入頁,"江戸後期の戯作者山東京伝の読本における代表作。初版は文化3年(1806)だが、水野稔氏によれば、鴎外蔵のものは、明治刷。初冊巻頭に、鴎外の筆で「姓氏略目」を書いた和紙が折り込みで貼付されている。この「姓氏略目」には、「人名」以外にも、「図書」、「地名」なども含んだ固有名詞一覧が含まれている。「明治十七年五月十六日夜記」との書入れがあり、留学直前期、23歳での読書であったことが分かる。(小)|参考文献: 水野稔「山東京伝—人と作品」(『新日本古典文学大系』85 米饅頭始 仕懸文庫 昔話稲妻表紙,岩波書店,1990年)|翻刻: 水野稔「山東京伝−人と作品」(『新日本古典文学大系』85 米饅頭始 仕懸文庫 昔話稲妻表紙,岩波書店,1990年)",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/962e01a8-0b40-4e78-b70e-9e835625cfd5.json,962e01a8-0b40-4e78-b70e-9e835625cfd5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/962e01a8-0b40-4e78-b70e-9e835625cfd5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0bb021d93f347de4df5531d0797de3841e50e542.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/466,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/962e01a8-0b40-4e78-b70e-9e835625cfd5/manifest,,,,,3
觀海雜記(カンカイ ザッキ) / 松崎惟時[著]. [写本],カンカイ ザッキ,"[書写地不明] : [書写者不明], [書写年不明] 91丁 ; 24cm 注記: 書名は扉による ; 写本",鴎E44:356,全頁,松崎観海は、丹波篠山藩の儒者。太宰春台門下の詩人として知られる。 本書は複数の人物による筆写稿を集めて一本としたものである。本書は、観海の他、同じ亀山藩の儒者であった辻湖南の資料も多く収めており、他にも深谷公幹・宮筠圃・村田子謙・宮瀬龍門・石島仲緑・伊藤竹里・勝竹川・勝元亮・野呂連山・原万菴の詩文を収録している。観海を中心とする、太宰春台門下の様子、また、丹波文苑の様子を知ることができる資料である。本書の筆写者は不明だが、「松崎観海」、「辻湖南」など、原稿用紙に書かれた各部の見出しは鴎外筆である。(多),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/96eb753c-2e81-4484-96c6-f614993021f5.json,96eb753c-2e81-4484-96c6-f614993021f5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/96eb753c-2e81-4484-96c6-f614993021f5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b08071f0fc4fcde66cbc16539feb5c7e79b65fd8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/467,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/96eb753c-2e81-4484-96c6-f614993021f5/manifest,,,,,91
大倭本草 16卷附録2卷諸品圖3卷(ヤマト ホンゾウ) / 貝原篤信編録.,ヤマト ホンゾウ,"皇都 [京都] : 永田調兵衛, 寶暦11 [1761] 9冊 ; 22.3×15.8cm -- 卷之1-2 - 附録卷之1-2 注記: 題簽の書名: 大和本草新校正(「新校正」は小字書き) ; 見返しの書名: 大和本草新校正並附録諸品圖 ; 敘, 凡例の書名: 大和本草 ; 自序, 目録の書名: 大倭本艸 ; 「國書總目録」の別書名: 大和本草綱目 ; 見返しに「平安 伏照軒藏」とあり ; 卷之15-16の巻末に「寳永六己丑歳 仲秋吉祥日 皇都書林 永田調兵衛」とあり ; 刊記に「正徳五乙未歳正月吉祥日 寶暦十一年辛巳孟秋 新校正 皇都書肆 永田調兵衛藏板」とあり ; 卷之2に補本あり ; 卷之6末に諸品圖第25-54丁, 卷之8末に諸品圖第1-24丁, 卷之13末に諸品圖第66-74丁, 卷之14末に諸品圖第75-84丁, 卷之15末に諸品圖第55-65丁を付す ; 四周単辺無界10行, 白口単魚尾, 内匡廓: 18.3×14.0cm ; 印記: 「森文庫」「三河山中御宮文庫」「鷗外藏書」 ; 頭注あり ; 挿絵(彩色)あり ; 書入れ, 虫損(一部裏打ち補修)あり",鴎T81:45,書入頁の一部(文字書入のみ),貝原益軒著。本書は「新校正」とある宝暦11年(1761)版である。『本草綱目』の分類に準拠しながらも独自の観察と見解に基づき内外の動植物について誌した百科事典的な書。江戸の博物・名物・物産学の嚆矢とされ後世への影響が大きい。 「森文庫」の印記と「森林太郎」および「東京大学医学部」の後識語があり、医学生時代に入手したものと考えられる。書入れは全般にわたっている。内容からみて少年時のものも多いが、一方「落花生」の項に赤ペンで「明治十二三年ノ頃ハ此菓ヲ嗜ム者多ク南京豆ト称テ東京ノ町々ヲ鬻アリキ又店ヲ開キテ売ルモアリ処々ニ植テ之ヲ作レリ」と記すなど、後年のものと思われる回顧的な書入れも見られる。鴎外は比較的長期にわたって本書を事典的に活用し、折りにふれて雑多なメモを書入れていったものと推測される。(梅),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/98a9663d-1592-46fc-bf11-4f12a6437e06.json,98a9663d-1592-46fc-bf11-4f12a6437e06,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/98a9663d-1592-46fc-bf11-4f12a6437e06,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/898658447e44bde5b7a63fcc379b105b6904b6c6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/468,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/98a9663d-1592-46fc-bf11-4f12a6437e06/manifest,,,,,96
同人集姓名録(ドウジンシュウ セイメイロク) . [写本],ドウジンシュウ セイメイロク,"([製作地不明] : [森鴎外], [1---]) 1冊 ; 24cm 注記: 写本 ; 大沼厚選評『同人集』より抄出 ; 和装. 袋綴じ",鴎H20:527,全頁,『同人集』は、幕末の江戸漢詩壇の大家大沼枕山が編んだ門人達の詩集であり、初編から三編まで刊行されている。本書は、それらから人名などを抜抄したもの。大沼枕山は、永井荷風『下谷叢話』の主人公として知られている。(合),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9a486b8d-98ca-4712-bf1d-7b09eb9097c3.json,9a486b8d-98ca-4712-bf1d-7b09eb9097c3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/9a486b8d-98ca-4712-bf1d-7b09eb9097c3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2a8c261f0ffe7e1c09b46eb85bb3d737f771f5a5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/469,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9a486b8d-98ca-4712-bf1d-7b09eb9097c3/manifest,,,,,36
寮館事略(リョウカン ジリャク) . [写本],リョウカン ジリャク,"([製作地不明] : [製作者不明], [1---]) 1冊 ; 27cm 注記: 書名は題簽による ; 写本 ; 柱に「東京帝室博物館」とある罫紙及び「宮内省」とある罫紙使用 ; 和装. 袋綴じ",鴎A90:259,全頁,大正6年(1917)12月から死去の大正11年(1922)9月まで、帝室博物館総長兼図書頭を務めた鴎外が、図書寮及び帝室博物館に関する規定などの記録を綴じたもの。鴎外自筆のものの他、活字部分含め複数の人物の手による資料となっている。内容は、職員名簿や会計簿など事務的な書類の他、図書寮の事業であった天皇・皇族実録編修及び六国史校訂について鴎外に提出されたと思われる報告書など。帝室博物館総長前任者股野琢の筆による部分もあり、一部は引き継ぎ資料であった可能性もある。 名簿には人事異動や物故者などについて多くの加筆、訂正の朱筆が見られ、編集過程をしのばせる。制作年代は不明だが、およそ大正10年頃と推定される。(目),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9abd2ce6-2232-4cdc-85e8-65a5b76b1b0f.json,9abd2ce6-2232-4cdc-85e8-65a5b76b1b0f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/9abd2ce6-2232-4cdc-85e8-65a5b76b1b0f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9cf686f385e87da1bebf532abb03b4754ca72802.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/470,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9abd2ce6-2232-4cdc-85e8-65a5b76b1b0f/manifest,,,,,128
雜記(ザッキ) . [写本],ザッキ,"([製作地不明] : [森鴎外], [1---]) 1冊 ; 26cm 注記: 書名は題簽による ; 写本 ; 欄外に「歌舞伎原稿用紙」とある罫紙及び「陸軍軍醫學校」とある罫紙使用 ; 和装. 袋綴じ",鴎A90:300,全頁,"鴎外の自筆を含む、複数の資料を合綴したもの。内容は、1.竹柏園主人(佐佐木信綱)作成の和学者略系図、2.いわゆる耳川の戦から秀吉の九州征伐に至るまでの島津家の事蹟を抜書したもの、3.琴の各部分の名称を付した図、4.在原業平が小野小町の髑髏を見つけたという「髑髏小町」(いわゆる「あなめあなめの歌」に関わる説話)関連の記事を随筆から抜書・考証したもの、5.乗馬の心得、6.汽船に関するメモである。4には鴎外の実弟三木竹二(本名:篤次郎)が主宰となった雑誌『歌舞伎』の原稿用紙が用いられており、三木竹二の筆である可能性が考えられる。さらに5、6は陸軍医学校の原稿用紙、4は雑誌『歌舞伎』(歌舞伎発行所,明治33年(1900)1月-大正4年(1915)1月)の原稿用紙に書かれているため、明治30年代以降の成立である。(多)",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9bc4975b-b3dd-40d1-bd31-ec14c4064823.json,9bc4975b-b3dd-40d1-bd31-ec14c4064823,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/9bc4975b-b3dd-40d1-bd31-ec14c4064823,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/25b064a9d5bf3483fb81d9e6a57f73e6b0aeab5b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/471,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9bc4975b-b3dd-40d1-bd31-ec14c4064823/manifest,,,,,25
能改菴末茶式(ノウカイアン マッチャシキ) . [写本],ノウカイアン マッチャシキ,"([製作地不明] : [森鴎外], [1---]) 1冊 ; 25cm 表紙タイトル:末茶式 注記: 書名は巻頭による ; 写本 ; 和装. 袋綴じ",鴎YB20:102,全頁,全丁鴎外の自筆による。能改庵《のうかいあん》とは江戸初期の茶人片桐石州の庵号。石州は四代将軍徳川家綱のために『茶道軌範』を作り、茶湯指南となった人物。石州流茶道の創始者であり、これはその作法を記した本の写しと見られ、茶具の配置、茶の手順が、第一~第三十八の段階をおって簡潔に説明されている。 鴎外の祖父玄仙は石州流の茶を嗜み、父静男もまた茶を愛好したことが知られており、本書は祖父や父の影響により作成されたと考えられる。鴎外の自伝的短編小説にも父をモデルとした人物について「中年の頃、石州流の茶をしてゐたのが、晩年に国を去つて東京に出た頃からひき茶を止めて、煎茶を飲むことにした」(『カズイスチカ』)、「博士の父は茶が好きで、或る日茶会を催さうとした」(『本家分家』)といった記述が見られるが、これらの小説と何らかの関係があると推察される。なお、鴎外文庫には、この他茶道に関する書物が複数所蔵されているが、本資料と類するものに、『茶事雑抄』(鴎YB20:76、鴎外自筆)、『井伊大老茶道談』(鴎YB20:82)、『半政庵茶規』(鴎YB20:101)(石州流の系統図があげられている)などがあり、鴎外が茶道に一貫した関心を抱いていたことがわかる。(渋)|関連作品: 『カズイスチカ』(第8巻)|関連作品: 『本家分家』(第16巻),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9cf7ac84-0620-422c-a252-a40fe962ac3a.json,9cf7ac84-0620-422c-a252-a40fe962ac3a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/9cf7ac84-0620-422c-a252-a40fe962ac3a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9c9d30b88a27c13e6bbc11f5d86a316ee38fa77e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/472,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9cf7ac84-0620-422c-a252-a40fe962ac3a/manifest,,,,,10
