タイトル,年月日,本文タイトル（原本）,巻頭目録タイトル（原本）,本文タイトル（標点本）,巻頭目録タイトル（標点本）,冊,巻,条,画像（開始コマ）,請求記号,類,目,影印本,標点本,Date Created,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
申明突衝儀仗拏問,弘治1.11.6,申明突衝儀仗拏問,申明衝突儀仗拏問/前件弘治元年十一月初六日禁約事,申明衝突儀仗拏問,申明衝突儀仗拏問/前件弘治元年十一月初六日禁約事,第11冊(不分巻-1),卷25,第2條,9901-00005,A00:6290:11,兵部類,縱軍擄掠,下-428上表,乙6-3(附-2),1488-110-06,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4d169d7e-efa8-4390-a7ef-3f43f70367e6.json,4d169d7e-efa8-4390-a7ef-3f43f70367e6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/4d169d7e-efa8-4390-a7ef-3f43f70367e6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c3beecf5c068cbdbe006f371669b4f8c927247a8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99980,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4d169d7e-efa8-4390-a7ef-3f43f70367e6/manifest,,,,,2
嚴飾武備,天順8.12.11,嚴飾武備,嚴飭武備/前件天順八年十二月十一日,嚴飭武備,嚴飭武備/前件天順八年十二月十一日,第11冊(不分巻-1),卷25,第1條,9901-00006,A00:6290:11,兵部類,不操練軍士(操練軍士),下-428下表,乙6-3(附-3),1464-120-11,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f3e64715-d541-451e-a71c-2dbcf380756e.json,f3e64715-d541-451e-a71c-2dbcf380756e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/f3e64715-d541-451e-a71c-2dbcf380756e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2bbda3109c2c5ce42bb64f03985872ac1a9f237f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99981,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f3e64715-d541-451e-a71c-2dbcf380756e/manifest,,,,,4
隄備鄰境賊情暫撥下班操軍例,成化1.12.15,隄備鄰境賊情暫撥下班操軍例,隄備鄰境賊情暫撥下班操軍例/前件成化元年十二月十五日隄備鄰境賊情事,(隄)[提]備鄰境賊情暫撥下班操軍例,隄備鄰境賊情暫撥下班操軍例/前件成化元年十二月十五日隄備鄰境賊情事,第11冊(不分巻-1),卷25,第2條,9901-00010,A00:6290:11,兵部類,不操練軍士(操練軍士),下-430下表,乙6-6(附-4),1465-120-15,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/052c1e36-c3cb-4134-9525-6abdc88e1823.json,052c1e36-c3cb-4134-9525-6abdc88e1823,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/052c1e36-c3cb-4134-9525-6abdc88e1823,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0324b3468982f1662ba597d0573e0e680b7adc95.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99982,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/052c1e36-c3cb-4134-9525-6abdc88e1823/manifest,,,,,4
蘇州永平府山海等處幷寄住官員軍民弟男子姪義男等項情願投軍者許赴官報名査審明白三丁以上家道殷實者方許收用食糧差操例,成化12.8.14,蘇州永平府山海等處幷寄住官員軍民弟男子姪義男等項情願投軍者許赴官報名査審明白三丁以上家道殷實者方許收用食糧差操例,薊州永平山海等處幷寄住官員軍民弟男子姪義男等項情願投軍者許赴官報名査審明白三十以上家道殷實者方許收用食糧差操例/前件成化十二年八月十四日傳報夷情事,(蘇)[薊]州永平府山海等處竝寄住官員軍民第男子姪義男等項情願投軍者許赴官報名査審明白三丁以上家道殷實者方許收用食糧操差例,薊州永平山海等處幷寄住官員軍民弟男子姪義男等項情願投軍者許赴官報名査審明白三十以上家道殷實者方許收用食糧差操例/前件成化十二年八月十四日傳報夷情事,第11冊(不分巻-1),卷25,第3條,9901-00013,A00:6290:11,兵部類,不操練軍士(操練軍士),下-432上表,乙6-9(附-5),1476-080-14,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/542907ed-6732-41b4-b101-80234255a71e.json,542907ed-6732-41b4-b101-80234255a71e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/542907ed-6732-41b4-b101-80234255a71e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/91a94936a8aa47b27005df14b2f5ce1e090ee9da.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99983,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/542907ed-6732-41b4-b101-80234255a71e/manifest,,,,,4
操練軍士不許剝削及罰班軍暫免罰班例,成化13.5.20,操練軍士不許剝削及罰班軍暫免罰班例,操練軍士不許剝削及罰班軍人暫免罰班例/前件成化十三年五月二十日地震事,操練軍士不許剝削及罰班軍暫免罰班例,操練軍士不許剝削及罰班軍人暫免罰班例/前件成化十三年五月二十日地震事,第11冊(不分巻-1),卷25,第4條,9901-00017,A00:6290:11,兵部類,不操練軍士(操練軍士),下-434上表,乙6-11(附-6),1477-050-20,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/863b4982-8568-4e09-adbf-660a8fe8ae9d.json,863b4982-8568-4e09-adbf-660a8fe8ae9d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/863b4982-8568-4e09-adbf-660a8fe8ae9d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f2f52000c04fd96b00005957d8e9d54335a88eba.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99984,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/863b4982-8568-4e09-adbf-660a8fe8ae9d/manifest,,,,,5
投充軍役收操敢有營求買閑者調衞充軍例,成化13.12.16,投充軍役收操敢有營求買閑者調衞充軍例,投充軍役收操敢有營求買閑者調衞充軍例/前件成化十三年十一月十六日投充軍役等事,投充軍役收操敢有營求買閑者調衞充軍例,投充軍役收操敢有營求買閑者調衞充軍例/前件成化十三年十一月十六日投充軍役等事,第11冊(不分巻-1),卷25,第5條,9901-00022,A00:6290:11,兵部類,不操練軍士(操練軍士),下-436下表,乙6-15(附-7),1477-120-16,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/51eef9b6-db7b-48c9-a831-5b1203500989.json,51eef9b6-db7b-48c9-a831-5b1203500989,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/51eef9b6-db7b-48c9-a831-5b1203500989,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/50a04f89eceb4f0ee85b9190f3826a2dd38dc251.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99985,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/51eef9b6-db7b-48c9-a831-5b1203500989/manifest,,,,,3
査造逃亡軍册/收軍籍以除重解,成化15.2.25,査造逃亡軍册/收軍籍以除重解,査造逃亡軍册/收軍籍以除重解/前件成化十五年二月二十五日建言民情事,査造逃亡軍册收軍籍以除重解,査造逃亡軍册/收軍籍以除重解/前件成化十五年二月二十五日建言民情事,第11冊(不分巻-1),卷25,第6條,9901-00025,A00:6290:11,兵部類,不操練軍士(操練軍士),下-438上表,乙6-17(附-8),1479-020-25,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/174cf731-75c2-4afb-a8ad-774c5d6047b0.json,174cf731-75c2-4afb-a8ad-774c5d6047b0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/174cf731-75c2-4afb-a8ad-774c5d6047b0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/abc842f9a0a6d85fdece8ce60d253ec3565be628.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99986,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/174cf731-75c2-4afb-a8ad-774c5d6047b0/manifest,,,,,3
在逃官員罰班補操例,成化17.11.18,在逃官員罰班補操例,在逃官員罰班補操例/前件成化十七年十一月十八日在逃官員事,在逃官員罰班補操例,在逃官員罰班補操例/前件成化十七年十一月十八日在逃官員事,第11冊(不分巻-1),卷25,第7條,9901-00027,A00:6290:11,兵部類,不操練軍士(操練軍士),下-439上表,乙6-19(附-9),1481-110-18,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0d5210f3-8b8e-4b3c-83a5-0a0694043397.json,0d5210f3-8b8e-4b3c-83a5-0a0694043397,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/0d5210f3-8b8e-4b3c-83a5-0a0694043397,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1141957d50708f9271dd9201eb747b399b67284c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99987,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0d5210f3-8b8e-4b3c-83a5-0a0694043397/manifest,,,,,2
選用舍餘操演以備軍陣,成化19.8.22,選用舍餘操演以備軍陣,選用舍餘操演以備軍陣/前件成化十九年八月二十二日,選用舍餘操演以備軍陣,選用舍餘操演以備軍陣/前件成化十九年八月二十二日,第11冊(不分巻-1),卷25,第8條,9901-00029,A00:6290:11,兵部類,不操練軍士(操練軍士),下-440上表,乙6-20(附-10),1483-080-22,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/242a3b62-b83e-4409-9715-319de356f3bb.json,242a3b62-b83e-4409-9715-319de356f3bb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/242a3b62-b83e-4409-9715-319de356f3bb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/070e71df79f3f160ebec814a5e2c7db6c54565cb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99988,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/242a3b62-b83e-4409-9715-319de356f3bb/manifest,,,,,2
押解充軍犯人受財賣放及掯財酷害立功調衞差操充軍等例,弘治2.9.24,押解充軍犯人受財賣放及掯財酷害立功調衞差操充軍等例,押解充軍犯人受財賣放及掯財酷害立功調衞差操充軍等例/前件弘治二年九月二十四日押解囚犯事,押解充軍犯人受財賣放及掯財酷害立功調衞差操充軍等例,押解充軍犯人受財賣放及掯財酷害立功調衞差操充軍等例/前件弘治二年九月二十四日押解囚犯事,第11冊(不分巻-1),卷25,第9條,9901-00031,A00:6290:11,兵部類,不操練軍士(操練軍士),下-441上表,乙6-21(附-11),1489-090-24,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/415915ff-adb2-4b5e-a3a4-fb7ceaf742c7.json,415915ff-adb2-4b5e-a3a4-fb7ceaf742c7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/415915ff-adb2-4b5e-a3a4-fb7ceaf742c7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6c7e3ab521f3c1aa9825aad5efdc23b00cf59616.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99989,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/415915ff-adb2-4b5e-a3a4-fb7ceaf742c7/manifest,,,,,3
禁約私造應禁軍器貨賣例,成化13.閏2.16,禁約私造應禁軍器貨賣例,禁約私造應禁軍器貨賣例/前件成化十三年閏二月十六日,禁約私造應禁軍器貨賣例,禁約私造應禁軍器貨賣例/前件成化十三年閏二月十六日,第11冊(不分巻-1),卷25,第1條,9901-00033,A00:6290:11,兵部類,私賣軍器,下-442上表,乙6-23(附-12),1477-025-16,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/283839cb-847e-47c3-9e36-a5ed353b817f.json,283839cb-847e-47c3-9e36-a5ed353b817f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/283839cb-847e-47c3-9e36-a5ed353b817f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/712d44eb43c44c78375291d7d66e9bb2dbf8b6c6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99990,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/283839cb-847e-47c3-9e36-a5ed353b817f/manifest,,,,,1
賣與夷人器軍物料幷與說話犯人連當房家小發邊遠充軍各俱親屬俱充發遣例,成化13.閏2.25,賣與夷人器軍物料幷與說話犯人連當房家小發邊遠充軍各俱親屬俱充發遣例,賣與夷人軍器物料幷與說話犯人連當房家小發邊遠充軍各居親屬俱免發遣例/前件成化十三年閏二月二十五日乞恩分豁負纍起解事,賣與夷人軍器物料竝與說話犯人連當房家小發邊遠充軍各俱親屬俱免發遣例,賣與夷人軍器物料幷與說話犯人連當房家小發邊遠充軍各居親屬俱免發遣例/前件成化十三年閏二月二十五日乞恩分豁負纍起解事,第11冊(不分巻-1),卷25,第2條,9901-00034,A00:6290:11,兵部類,私賣軍器,下-442下表,乙6-23(附-13),1477-025-25,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d0a6cbab-3c5c-4854-b660-ef2acd50b321.json,d0a6cbab-3c5c-4854-b660-ef2acd50b321,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/d0a6cbab-3c5c-4854-b660-ef2acd50b321,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5d18d50702e5e96cd1aaa745a8a869ea7d3b3874.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99991,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d0a6cbab-3c5c-4854-b660-ef2acd50b321/manifest,,,,,3
私販焰硝入官,弘治1.11.23,私販焰硝入官,私販焰硝入官/前件弘治元年十一月二十三日騙害事,私販焰硝入官,私販焰硝入官/前件弘治元年十一月二十三日騙害事,第11冊(不分巻-1),卷25,第3條,9901-00036,A00:6290:11,兵部類,私賣軍器,下-443下表,乙6-25(附-14),1488-110-23,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5797f14d-6152-4549-a6c5-4cc143d35351.json,5797f14d-6152-4549-a6c5-4cc143d35351,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/5797f14d-6152-4549-a6c5-4cc143d35351,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/efcecc0c107691383be7f623233c4eb25388f46a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99992,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5797f14d-6152-4549-a6c5-4cc143d35351/manifest,,,,,3
禁約陝西甘肅等處軍人官舍人等不許將應禁軍器賣與夷人違者各調邊衞充軍幷差操例,弘治5.6.24,禁約陝西甘肅等處軍人官舍人等不許將應禁軍器賣與夷人違者各調邊衞充軍幷差操例,禁約陝西甘肅等處軍民官舍人等不許將應禁軍器賣與夷人違者各調邊衞充軍幷差操例/前件弘治五年六月二十四日修政弭災事,禁約陝西甘肅等處軍人官舍人等不許將應禁軍器賣與夷人違者各調邊衞充軍竝差操例,禁約陝西甘肅等處軍民官舍人等不許將應禁軍器賣與夷人違者各調邊衞充軍幷差操例/前件弘治五年六月二十四日修政弭災事,第11冊(不分巻-1),卷25,第4條,9901-00038,A00:6290:11,兵部類,私賣軍器,下-444下表,乙6-26(附-15),1492-060-24,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cf7664a3-b391-4f1a-92e1-2f8fbef988db.json,cf7664a3-b391-4f1a-92e1-2f8fbef988db,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/cf7664a3-b391-4f1a-92e1-2f8fbef988db,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4e14a88a098ab7a7f5749dc0f389203e51cf2790.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99993,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cf7664a3-b391-4f1a-92e1-2f8fbef988db/manifest,,,,,3
禁革軍解不計中途賣放,天順8.7.29,禁革軍解不計中途賣放,禁約軍解不計中途賣放,禁(革)[約]軍解不(計)[許]中途賣放,禁約軍解不(計)[許]中途賣放,第6冊,卷26,第1條,0026-00004,A00:6290:6,兵部類,縱放軍人歇役,上-636下表,乙5-4(26-1),1464-070-29,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3d1bd25c-62f0-4a77-87fd-62ca4d59c453.json,3d1bd25c-62f0-4a77-87fd-62ca4d59c453,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/3d1bd25c-62f0-4a77-87fd-62ca4d59c453,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/11760417ba35ab2ed840ee7e097b1d0878daa3c3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99994,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3d1bd25c-62f0-4a77-87fd-62ca4d59c453/manifest,,,,,3
均差役幷淸理軍伍等項例,天順8.12.22,均差役幷淸理軍伍等項例,均差役幷淸理軍伍等項例,均差役竝淸理軍伍等項例,均差役竝淸理軍伍等項例,第6冊,卷26,第2條,0026-00006,A00:6290:6,兵部類,縱放軍人歇役,上-637下表,乙5-5(26-2),1464-120-22,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8e568d11-07b3-4550-86f1-91f4a6728aab.json,8e568d11-07b3-4550-86f1-91f4a6728aab,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/8e568d11-07b3-4550-86f1-91f4a6728aab,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/88298690654341e42a6ccb4adf23b9668f473b85.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99995,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8e568d11-07b3-4550-86f1-91f4a6728aab/manifest,,,,,2
欽差總兵官帶去官軍遼東等處十人其餘不過五人,成化1.1,欽差總兵官帶去官軍遼東等處十人其餘不過五人,欽差總兵官帶去官軍遼東等處十人其餘不過伍人,欽差總兵官帶去官軍遼東等處十人其餘不過五人,欽差總兵官帶去官軍遼東等處十人其餘不過五人,第6冊,卷26,第3條,0026-00007,A00:6290:6,兵部類,縱放軍人歇役,上-638上表,乙5-6(26-3),1465-010-99,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6635168b-e936-4947-ba33-4bcbdd56fc8f.json,6635168b-e936-4947-ba33-4bcbdd56fc8f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/6635168b-e936-4947-ba33-4bcbdd56fc8f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0b88fa11b8593ff2b3ef470745aa33657fa71799.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99996,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6635168b-e936-4947-ba33-4bcbdd56fc8f/manifest,,,,,1
禁約役使軍餘種田等項例,成化5.11.29,禁約役使軍餘種田等項例,禁約役使軍餘種田等項例,禁約役使軍餘種田等項例,禁約役使軍餘種田等項例,第6冊,卷26,第4條,0026-00008,A00:6290:6,兵部類,縱放軍人歇役,上-638下表,乙5-7(26-4),1469-110-29,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8cc4f771-1ee1-43d4-ad53-84e1c14ebb67.json,8cc4f771-1ee1-43d4-ad53-84e1c14ebb67,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/8cc4f771-1ee1-43d4-ad53-84e1c14ebb67,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/eaf2c2b7fc553ccbdfb8b4e597b7daede0bf7251.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99997,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8cc4f771-1ee1-43d4-ad53-84e1c14ebb67/manifest,,,,,2
在外軍職使用軍伴照品級額數外多占者問罪例,成化7.12.27,在外軍職使用軍伴照品級額數外多占者問罪例,在外軍職使用軍伴照品級額數外多佔者問罪,在外軍職使用軍伴照品級額數外多佔者問罪例,在外軍職使用軍伴照品級額數外多佔者問罪[例],第6冊,卷26,第5條,0026-00009,A00:6290:6,兵部類,縱放軍人歇役,上-639上表,乙5-8(26-5),1471-120-27,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/19691cb3-6509-42b2-be08-c6a129a925d9.json,19691cb3-6509-42b2-be08-c6a129a925d9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/19691cb3-6509-42b2-be08-c6a129a925d9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6ab496e698beab868dbdfdd60da212fd2d2e4b12.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99998,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/19691cb3-6509-42b2-be08-c6a129a925d9/manifest,,,,,2
